youtube_id,title,upload_date,length,duration_iso,"description(first 120)",on_products
3KRzsc-stEE,"ASR Outdoor: How To Use The ASR Outdoor Mini Rubber Pocket Sluice Box",2022-06-16,1:33,PT1M33S,"SHOP: https://asroutdoor.com/products/pocket-sluice-box-for-gold-panning-3-riffle-tpr-rubber-groove-mat-12  The 12 inch ","15pc Travel Backpack Gold Panning Kit with Mini Sluice Box and 3lb Gold Bobby Bo Paydirt (2 Styles) | Mini Portable 3 Riffle Rubber Sluice Box Gold Prospecting Equipment, 12 Inch"
3N-gFD2G-jQ,"Meet Our Large Capacity Rock Hounding Tool Bag 👀 #geology #rockhounding #outdoorgear",2025-09-26,0:25,PT25S,"Ready to level up your rockhounding adventures? 🪨   This rock hounding tool bag is built to carry all your gear, found s","21pc Geology Rock Hounding Kit with Mining Tools and Deluxe Carry Bag"
5ZUFmtFPgdE,"ASR Outdoor: How to Choose the Correct Gold Pan Type for Gold Panning",2022-06-16,2:53,PT2M53S,"SHOP: https://asroutdoor.com/collections/gold-pans  Not sure which type or size of gold pan is right for you? Watch to f","(Videos page only)"
BX_OnDzxXRA,"How to Use ASR Outdoor Mini 6 Inch Classifier Screens for Gold Panning",2022-06-16,3:17,PT3M17S,"SHOP: https://asroutdoor.com/collections/sifters-or-classifiers  Necessary for sifting unclassified paydirt, these 6"" cl","Small Stackable 6 Inch Classifier Screen Sifting Sieves, Assorted Stainless Steel Mesh Sizes"
D0Sch7DMcHM,"The BEST Shovels, Hammers and Picks for Gold Prospecting",2023-09-25,3:21,PT3M21S,"SHOP: https://asroutdoor.com/collections/gold-panning-accessories  Find the right Shovel or Pick for your Gold panning g","3 in 1 Black Trifold Steel Multipurpose Serrated Shovel Pick and Saw with Storage Case, 22 Inch | HRC Steel Shovel with Knurled Wooden Handle Gold Prospecting Equipment, 28.25 Inch | 3 in 1 Black Mini Folding Serrated Edge Shovel Pick and Saw Gold Prospecting Equipment, 16 Inches"
F3nU7PYk2CU,"ASR Outdoor 30"" Plastic Sluice Box Set Up & Product Features",2022-06-29,2:34,PT2M34S,"SHOP: https://asroutdoor.com/products/30-inch-four-riffle-plastic-sluice-box-for-gold-prospecting-green  Featuring a uni","Multi Riffle Plastic Sluice Box Gold Prospecting Equipment, Green"
GRGKibzHhNQ,"How to Use ASR Outdoor 13 Inch Bucket Classifier Screen Sifting Pans for Gold Panning",2022-06-16,2:34,PT2M34S,"SHOP: https://asroutdoor.com/collections/sifters-or-classifiers  Necessary for sifting unclassified paydirt, these 13 in","Heavy Duty Stackable Plastic Sifting Screens Gold Prospecting Equipment Rock Hounding (3 Sizes)"
I52rzwyfliE,"ASR Outdoor: How To Use The ASR Outdoor 12"" Aluminum Sluice Box",2022-06-15,1:46,PT1M46S,"SHOP: https://asroutdoor.com/collections/sluice-boxes  The ASR Outdoor 12 inch aluminum sluice box for gold panning is g","15pc Travel Backpack Gold Panning Kit with Mini Sluice Box and 3lb Gold Bobby Bo Paydirt (2 Styles) | Mini Portable Aluminum Sluice Box with Rubber Matting Gold Prospecting Equipment, 12 Inch"
KLobXEEdf1Q,"Unboxing the New ASR Outdoor 12pc Break Your Own Geodes Kit! Discover the Unique Crystals Inside!",2024-09-13,3:00,PT3M,"SHOP: https://asroutdoor.com/products/12pc-break-your-own-geodes-kit-with-sledge-hammer-and-safety-goggles-assorted-size","12pc Break Your Own Geodes Kit with Sledge Hammer and Safety Goggles (Assorted Size Geodes)"
O_ithEcabnU,"Can this first aid kit handle full water submersion? #firstaidkit #campinggear #hikinggear #outdoors",2026-02-25,0:23,PT23S,"Waterproof, buoyant in water, portable, lightweight and contains 50 pieces of first aid essential items, all packed in a","First Aid Kit in Plastic Waterproof Case Survival Gear Emergency Preparedness Item, 50pc"
