numeric_id,handle,product_type,old_product_title,new_seo_title,len
8406498541868,asr-outdoor-deluxe-50-aluminum-folding-sluice-box-gold-panning-backpack-kit,"Gold Panning","24pc Deluxe 50 Inch Aluminum Folding Sluice Box Gold Panning Kit with 30L Backpack","Folding Sluice Box Gold Panning Kit, 24pc | ASR Outdoor",55
8461244170540,rock-pick-hammer,"Gold Panning","20oz Rock Pick Mining Hammer, 11-inch Pointed Tip Gold Prospectors Tool","20oz Rock Pick Mining Hammer, Pointed Tip | ASR Outdoor",55
8461244367148,30-inch-four-riffle-plastic-sluice-box-for-gold-prospecting-green,"Gold Panning","Multi Riffle Plastic Sluice Box Gold Prospecting Equipment, Green","Multi-Riffle Plastic Sluice Box for Gold | ASR Outdoor",54
8461244793132,asr-outdoor-sluice-box-gold-prospecting-kit-pan-vial-snifter-trowel-tweezer-7pc,"Gold Panning","7pc Beginner Sluice Box Gold Panning Kit with Gold Prospecting Equipment (Aluminum or Plastic)","Beginner Sluice Box Gold Panning Kit, 7pc | ASR Outdoor",55
8491279384876,6pc-paydirt-beginner-gold-panning-kit-with-gold-pan-vial-snuffer-bottle,"Gold Panning","ASR Outdoor X Pan for Gold with Bobby Bo 3oz Beginner Paydirt Gold Panning Kit, 6pc","Beginner Gold Panning Kit with X Pan, 6pc | ASR Outdoor",55
8491328143660,asr-outdoor-24pc-gold-panning-kit-with-5-gallon-bucket-and-10lb-bobby-bo-paydirt-2-colors,"Gold Panning","24pc Gold Panning Kit with 5 Gallon Bucket and 10lb Pan for Gold with Bobby Bo Paydirt (2 Colors)","Gold Panning Kit with 5-Gallon Bucket, 24pc | ASR Outdoor",57
8491384897836,asr-outdoor-7pc-starter-gold-panning-kit-beginner-prospecting-equipment-with-paydirt-3-colors,"Gold Panning","7pc Kids Starter Gold Panning Kit Beginner Prospecting Equipment with Paydirt (3 Colors)","Kids Gold Panning Kit with Paydirt, 7pc | ASR Outdoor",53
8491401380140,asr-outdoor-gold-panning-paydirt-1lb-advanced-bag-gold-prospecting-concentrate-flakes-green-or-black,"Gold Panning","ASR Outdoor Gold Panning Paydirt 1LB Advanced Bag Gold Prospecting Concentrate Flakes (Green or Black)","Gold Panning Paydirt, 1lb Advanced Bag | ASR Outdoor",52
8493498204460,asr-outdoor-7pc-gold-panning-kit-with-1lbs-bobby-bo-intermediate-unclassified-paydirt-bag-green-or-black,"Gold Panning","ASR Outdoor 6pc Gold Panning Kit with 1lbs Bobby Bo Intermediate Unclassified Paydirt Bag (Green or Black)","Gold Panning Kit with 1lb Paydirt, 6pc | ASR Outdoor",52
8493515178284,asr-outdoor-7pc-gold-panning-kit-with-1lbs-bobby-bo-beginner-classified-paydirt-bag-green-or-black,"Gold Panning","ASR Outdoor Beginner Gold Panning Kit with 1LB Guaranteed Gold Paydirt (3 Colors), 6pc","Beginner Gold Paydirt Panning Kit, 6pc | ASR Outdoor",52
8493529727276,gold-pan-with-dual-riffles-prospecting-tool-3-colors-and-sizes,"Gold Panning","Dual Riffle Gold Pans Gold Prospecting Equipment (3 Colors and Sizes)","Dual Riffle Gold Pans for Prospecting | ASR Outdoor",51
8493540180268,asr-outdoor-17pc-complete-backpack-sluice-box-gold-panning-kit-with-10lb-bobby-bo-intermediate-gold-paydirt-3-colors,"Gold Panning","17pc Complete Backpack Sluice Box Gold Panning Kit with 10lb Bobby Bo Intermediate Gold Paydirt (3 Colors)","Backpack Sluice Box Gold Panning Kit, 17pc | ASR Outdoor",56
8493678985516,15pc-complete-backpack-gold-panning-kit-with-mini-sluice-box-and-3lb-gold-bobby-bo-paydirt-aluminum-or-rubber,"Gold Panning","15pc Travel Backpack Gold Panning Kit with Mini Sluice Box and 3lb Gold Bobby Bo Paydirt (2 Styles)","Travel Gold Panning Kit with Sluice Box, 15pc | ASR Outdoor",59
8495190245676,gold-prospecting-5pc-beginners-kit-with-gold-pan-vial-snifter-bottle,"Gold Panning","5pc Beginners Gold Panning Kit with Pan, Glass Vials, Snifter Bottle, Magnifying Tweezers","Beginner Gold Panning Kit with Vials, 5pc | ASR Outdoor",55
8495198667052,asr-outdoor-backpack-gold-panning-kit-with-mini-sluice-box-14pc-2-styles,"Gold Panning","14pc Backpack Gold Panning Kit with 12"" Mini Sluice Box (Rubber or Aluminum)","Backpack Gold Panning Kit, Mini Sluice, 14pc | ASR Outdoor",58
8495203287340,50-aluminum-folding-sluice-box-gold-prospecting-equipment,"Gold Panning","50 Inch Aluminum Folding Gold Sluice Box Prospecting Equipment","50-Inch Aluminum Folding Gold Sluice Box | ASR Outdoor",54
8502255157548,5-gallong-bucket-gold-panning-classifier-screen-prospecting-equipment,"Gold Panning","Stackable 5 Gallon Bucket Classifier Screens Sifting Sieves (Many Sizes)","5-Gallon Bucket Gold Classifier Screens | ASR Outdoor",53
8502335045932,prospecting-sand-scoop-plastic-12-5-inch-trowel,"Gold Panning","Large Gold Panning Prospector's Sand Scoop Hand Trowel (4 Colors)","Gold Prospecting Sand Scoop Hand Trowel | ASR Outdoor",53
8502378823980,gold-rush-sifting-screen-classifier-sieve-mini-6-inch-multiple-mesh-sizes,"Gold Panning","Small Stackable 6 Inch Classifier Screen Sifting Sieves, Assorted Stainless Steel Mesh Sizes","6-Inch Stackable Gold Classifier Screens | ASR Outdoor",54
8502395011372,gold-panning-aluminum-mini-sluice-box-with-rubber-matting-12-inch,"Gold Panning","Mini Portable Aluminum Sluice Box with Rubber Matting Gold Prospecting Equipment, 12 Inch","12-Inch Mini Aluminum Sluice Box for Gold | ASR Outdoor",55
8502409855276,pocket-sluice-box-for-gold-panning-3-riffle-tpr-rubber-groove-mat-12,"Gold Panning","Mini Portable 3 Riffle Rubber Sluice Box Gold Prospecting Equipment, 12 Inch","12-Inch Mini 3-Riffle Rubber Sluice Box | ASR Outdoor",53
8502466216236,8-5-inch-large-plastic-sand-scoop-for-metal-detector-treasure-hunting,"Gold Panning","8.5 inch Large Plastic Sand Scoop for Metal Detector Treasure Hunting (3 Colors)","8.5-Inch Plastic Sand Scoop for Detecting | ASR Outdoor",55
8502535192876,asr-outdoor-16pc-beginner-geology-rock-hounding-kit-with-mining-tools-and-carry-bag,"Rock Hounding","16pc Beginner Geology Rock Hounding Kit with Mining Tools and Tool Bag","Beginner Rock Hounding Kit with Tools, 16pc | ASR Outdoor",57
8502573924652,5-plastic-heavy-duty-gold-snifter-snuffer-bottle-squeeze-nozzle-multi-packs,"Gold Panning","3oz Plastic Heavy Duty Gold Snifter Bottle with Squeeze Nozzle (Multi-Packs)","3oz Gold Snifter Bottle, Squeeze Nozzle | ASR Outdoor",53
8502621208876,rubber-mat-riffled-sluice-box-matting-for-gold-recovery-27x10-inch,"Gold Panning","Large Rubber Riffled Sluice Box Matting for Gold Recovery, 27 x 10 inch","Rubber Riffle Sluice Box Matting, 27x10-Inch | ASR Outdoor",58
8502631498028,mini-sluice-box-with-3-5-gallon-bucket-gold-panning-kit-20pc,"Gold Panning","20pc Mini Pocket Sluice Box with 3.5 Gallon Bucket Gold Panning Kit (2 Styles)","Pocket Sluice Box Gold Panning Kit, 20pc | ASR Outdoor",54
8502674391340,13pc-gold-panning-backpack-kit-collapsible-bucket,"Gold Panning","13pc Portable Gold Panning Kit with Collapsible Bucket, Mini Aluminum Sluice Box and 30L Backpack (4 Colors)","Portable Gold Panning Kit with Backpack, 13pc | ASR Outdoor",59
8504355389740,10pc-gold-panning-starter-set-kit-gold-rush-prospecting-tools,"Gold Panning","10pc Beginner Gold Panning Kit Gold Prospecting Equipment (3 Colors)","Beginner Gold Panning Kit, 10pc | ASR Outdoor",45
8504457167148,4x-magnification-magnifying-tweezers-gold-panning-accessory,"Gold Panning","4x Magnification Steel Magnifying Tweezers Gold Prospecting Equipment, 1 Pair","4x Magnifying Tweezers for Gold Prospecting | ASR Outdoor",57
8517567316268,10-inch-single-riffle-standard-gold-pan-multiple-colors,"Gold Panning","10 Inch Traditional Single Riffle Standard Gold Pan (3 Colors)","10-Inch Single Riffle Gold Pan | ASR Outdoor",44
8517589303596,14-inch-ridge-riffle-gold-pan-with-water-guide-2-colors,"Gold Panning","14 Inch Traditional Large Single Ridge Riffle Finishing Gold Pan with Water Guide (2 Colors)","14-Inch Single Riffle Finishing Gold Pan | ASR Outdoor",54
8517722669356,gold-panning-precision-plastic-dropper-pipette-5-5-inch-3ml-multiple-pack-sizes,"Gold Panning","3mL Gold Panning Precision Plastic Dropper Pipettes 5.5 Inch (Multiple Pack Sizes)","3mL Gold Panning Dropper Pipettes, 5.5-Inch | ASR Outdoor",57
8517884444972,50-inch-aluminum-folding-sluice-box-for-gold-prospecting-backpack-kit-3-colors,"Gold Panning","50 Inch Aluminum Folding Sluice Box Backpack Kit Gold Prospecting Equipment (4 Colors)","50-Inch Folding Sluice Box Backpack Kit | ASR Outdoor",53
8521682682156,asr-outdoor-black-drawstring-backpack-gym-bag-hiking-gear-20-x-16-inches,"Gold Panning","ASR Outdoor Black Drawstring Backpack Gym Bag Hiking Gear, 20 x 16 Inches","Drawstring Backpack Gym Bag, 20x16-Inch | ASR Outdoor",53
8521704636716,asr-outdoor-30l-heavy-stitch-gold-panning-backpack-camping-canvas-rucksack-3-colors,"Gold Panning","30L Heavy Stitch Gold Panning Backpack Camping Gear Canvas Rucksack (4 Colors)","30L Canvas Gold Panning Backpack Rucksack | ASR Outdoor",55
8521725116716,7pc-classic-field-gold-panning-kit-with-dual-riffle-gold-pans-2-colors,"Gold Panning","7pc Classic Field Beginner Gold Panning Kit with Dual Riffle Gold Pans (2 Colors)","Field Gold Panning Kit, Dual Riffle Pans, 7pc | ASR Outdoor",59
8521740910892,4pc-dual-riffle-gold-pan-set-gold-prospecting-equipment-2-colors,"Gold Panning","4pc Dual Riffle Gold Pan Set Gold Prospecting Equipment (2 Colors)","Dual Riffle Gold Pan Set, 4pc | ASR Outdoor",43
8521749922092,14pc-finishing-gold-prospecting-equipment-gold-panning-kit-black,"Gold Panning","14pc Beginner Finishing Gold Prospecting Equipment Gold Panning Kit, Black","Beginner Finishing Gold Panning Kit, 14pc | ASR Outdoor",55
8521757655340,asr-outdoor-complete-gold-panning-kit-prospecting-equipment-with-classifier-screens-dual-riffle-gold-pans-11pc,"Gold Panning","11pc Complete Gold Panning Kit with Classifier Screens, Gold Pans and Prospecting Tools, Green","Gold Panning Kit with Classifier Screens, 11pc | ASR Outdoor",60
8521778561324,gold-panning-portable-compact-magnetic-pickup-tool-with-quick-release-rubber-handle,"Gold Panning","Magnetic Pick Up Tool – Gold Prospecting Black Sand Separator Magnet with Quick Release Handle (2 Sizes)","Magnetic Black Sand Separator Pick-Up Tool | ASR Outdoor",56
8521788588332,2-inch-precious-metal-testing-stone-for-gold-panning,"Gold Panning","2 Inch Natural Testing Stone Prospecting Tools, Black","2-Inch Natural Gold Testing Stone | ASR Outdoor",47
8521825714476,19pc-ultimate-gold-panning-kit-with-classifier-screens-gold-pans-rock-pick,"Gold Panning","19pc Ultimate Gold Panning Kit with Classifier Screens, Gold Pans, Rock Pick","Gold Panning Kit, Classifiers & Pick, 19pc | ASR Outdoor",56
8521842229548,miners-moss-sluice-box-matting-for-gold-prospecting-multiple-sizes-and-colors,"Gold Panning","Miners Moss Sluice Box Matting for Gold Prospecting (Multiple Sizes and Colors)","Miners Moss Sluice Box Matting for Gold | ASR Outdoor",53
8521873916204,aluminum-sluice-box-with-rubber-tpr-riffle-matting-gold-prospecting-equipment-34-inch,"Gold Panning","Aluminum Sluice Box with Rubber TPR Riffle Matting, Gold Prospecting Equipment, 34 Inch","34-Inch Aluminum Sluice Box, TPR Matting | ASR Outdoor",54
8521901801772,metal-detector-2-in-1-plastic-black-scoop-with-steel-probe,"Gold Panning","2 in 1 Metal Detector Sand Scoop with Built-in Steel Probe, Black","2-in-1 Metal Detector Sand Scoop with Probe | ASR Outdoor",57
8521944531244,22pc-complete-finishing-gold-panning-kit-with-rock-pick-hammer-green,"Gold Panning","22pc Complete Finishing Gold Panning Kit with Rock Pick Hammer, Green","Finishing Gold Panning Kit, Rock Pick, 22pc | ASR Outdoor",57
8521946104108,27-compact-aluminum-sluice-box-with-flared-mouth-gold-prospecting,"Gold Panning","27 Inch Compact Aluminum Sluice Box with Flared Mouth Gold Prospecting Equipment","27-Inch Compact Aluminum Sluice Box | ASR Outdoor",49
8521959866668,green-heavy-duty-plastic-gold-rush-gold-panning-hand-scoop-trowel,"Gold Panning","Green Gold Rush Lightweight Hand Scoop Trowel Gold Prospecting Equipment","Lightweight Gold Prospecting Scoop Trowel | ASR Outdoor",55
8521967042860,gold-prospecting-black-sand-5lb-magnetic-steel-pocket-separator-pen,"Gold Panning","5lbs Magnetic Black Sand Steel Pocket Separator Pen Pick Up Tool","Magnetic Black Sand Separator Pocket Pen | ASR Outdoor",54
8521979887916,gold-mining-compact-magnetic-prospectors-pick-axe,"Gold Panning","Heavy Duty Collapsable Magnetic Prospectors Pick Axe Gold Prospecting Equipment, Silver","Collapsible Magnetic Prospecting Pick Axe | ASR Outdoor",55
8521988899116,gold-rush-prospecting-sand-scoop-beveled-riffle-edge-12-5-inch-green,"Gold Panning","12.5 Inch Riffled Edge Prospector's Sand Scoop Gold Prospecting Equipment, Green","12.5-Inch Riffled Gold Prospecting Sand Scoop | ASR Outdoor",59
8522010329388,sluice-box-gold-panning-kit-with-1-2-classifier-prospecting-equipment-21pc,"Gold Panning","21pc Folding 50 Inch Aluminum Sluice Box Gold Panning Kit with Gold Recovery Prospecting Tools","Folding Sluice Box Gold Panning Kit, 21pc | ASR Outdoor",55
8522103718188,21pc-testing-and-finishing-gold-panning-kit-with-tool-box,"Gold Panning","21pc Testing and Finishing Gold Panning Kit with Tool Box","Testing & Finishing Gold Panning Kit, 21pc | ASR Outdoor",56
