video_id,video_url,embed_url,title,yt_status,upload_date,duration,thumbnail_url,kind,suggested_target,best_product_handle,best_product_title,match_score,alt_product_candidates,suggested_collection,CONFIRM_target_handle,NOTES
t9Fc9uBs24Y,https://youtu.be/t9Fc9uBs24Y,https://www.youtube.com/embed/t9Fc9uBs24Y,The ASR Outdoor Gemstone Paydirt Kit! Find Shiny Crystals and Cool Gems,public,2024-09-24,PT1M30S,https://i.ytimg.com/vi/t9Fc9uBs24Y/hqdefault.jpg,product_demo,product,asr-outdoor-5lb-cocada-pyrite-gemstone-paydirt-bag-gold-panning-kit,Genuine Gemstone Paydirt Bags Rock Collecting (12 Rock Types),6,5lb-rough-brazilian-gemstone-paydirt-bag-geology-science-kit(6) | 5lb-genuine-tumbled-rocks-and-gemstone-paydirt-geology-science-kit-14pc(6),paydirt-kits,,
KLobXEEdf1Q,https://youtu.be/KLobXEEdf1Q,https://www.youtube.com/embed/KLobXEEdf1Q,Unboxing the New ASR Outdoor 12pc Break Your Own Geodes Kit! Discover the Unique Crystals Inside!,public,2024-09-13,PT2M59S,https://i.ytimg.com/vi/KLobXEEdf1Q/hqdefault.jpg,product_demo,product,12pc-break-your-own-geodes-kit-with-sledge-hammer-and-safety-goggles-assorted-size-geodes,12pc Break Your Own Geodes Kit with Sledge Hammer and Safety Goggles (Assorted Size Geodes),6,,geodes,,
ae63J6_Z-GA,https://youtu.be/ae63J6_Z-GA,https://www.youtube.com/embed/ae63J6_Z-GA,ASR Outdoor Gold Panning UPDATED Guaranteed Paydirt Bags Showcase,public,2023-09-27,PT1M2S,https://i.ytimg.com/vi/ae63J6_Z-GA/hqdefault.jpg,product_demo,product,asr-outdoor-x-bobby-bo-assorted-paydirt-bags,"ASR Outdoor and Pan for Gold with Bobby Bo Guaranteed Gold Paydirt Bags (3oz, 1LB, 3LB, 10LB)",5,asr-outdoor-7pc-gold-panning-kit-with-1lbs-bobby-bo-beginner-classified-paydirt-bag-green-or-black(4) | asr-outdoor-5lb-cocada-pyrite-gemstone-paydirt-bag-gold-panning-kit(4),paydirt-kits,,
D0Sch7DMcHM,https://youtu.be/D0Sch7DMcHM,https://www.youtube.com/embed/D0Sch7DMcHM,The BEST Shovels & Picks for Gold Prospecting/ Panning - ASR Outdoor,public,2023-09-25,PT3M21S,https://i.ytimg.com/vi/D0Sch7DMcHM/hqdefault.jpg,product_demo,collection,,,0,,gold-panning-accessories,,
Xepf8uTnR7w,https://youtu.be/Xepf8uTnR7w,https://www.youtube.com/embed/Xepf8uTnR7w,Top Gold Prospecting Pickaxe for Gold Panning - ASR Outdoor Gear Tested,public,2023-09-21,PT1M34S,https://i.ytimg.com/vi/Xepf8uTnR7w/hqdefault.jpg,product_demo,collection,,,0,,gold-panning-accessories,,
F3nU7PYk2CU,https://youtu.be/F3nU7PYk2CU,https://www.youtube.com/embed/F3nU7PYk2CU,"ASR Outdoor 30"" Plastic Sluice Box Set Up & Product Features",public,2022-06-28,PT2M33S,https://i.ytimg.com/vi/F3nU7PYk2CU/hqdefault.jpg,product_demo,product,asr-outdoor-sluice-box-gold-prospecting-kit-pan-vial-snifter-trowel-tweezer-7pc,7pc Beginner Sluice Box Gold Panning Kit with Gold Prospecting Equipment (Aluminum or Plastic),5,30-inch-four-riffle-plastic-sluice-box-for-gold-prospecting-green(5) | sluice-box-gold-panning-kit-with-1-2-classifier-prospecting-equipment-21pc(4),sluice-boxes,,
o6ToaVuqtZk,https://youtu.be/o6ToaVuqtZk,https://www.youtube.com/embed/o6ToaVuqtZk,ASR Outdoor: Benefits of Using Rubber Riffle Matting while Gold Prospecting,public,2022-06-24,PT0M49S,https://i.ytimg.com/vi/o6ToaVuqtZk/hqdefault.jpg,how_to,blog,aluminum-sluice-box-with-rubber-tpr-riffle-matting-gold-prospecting-equipment-34-inch,"Aluminum Sluice Box with Rubber TPR Riffle Matting, Gold Prospecting Equipment, 34 Inch",7,rubber-mat-riffled-sluice-box-matting-for-gold-recovery-27x10-inch(4) | pocket-sluice-box-for-gold-panning-3-riffle-tpr-rubber-groove-mat-12(4),sluice-boxes,,
vW6hZTmYAqc,https://youtu.be/vW6hZTmYAqc,https://www.youtube.com/embed/vW6hZTmYAqc,ASR Outdoor: 34 Inch Aluminum Rubber Matting Sluice Box Set Up,public,2022-06-22,PT2M57S,https://i.ytimg.com/vi/vW6hZTmYAqc/hqdefault.jpg,product_demo,product,aluminum-sluice-box-with-rubber-tpr-riffle-matting-gold-prospecting-equipment-34-inch,"Aluminum Sluice Box with Rubber TPR Riffle Matting, Gold Prospecting Equipment, 34 Inch",12,gold-panning-aluminum-mini-sluice-box-with-rubber-matting-12-inch(10) | rubber-mat-riffled-sluice-box-matting-for-gold-recovery-27x10-inch(9),sluice-boxes,,
OdcvlszXOH0,https://youtu.be/OdcvlszXOH0,https://www.youtube.com/embed/OdcvlszXOH0,ASR Outdoor 50 inch Sluice Box Set Up Gold Prospecting Equipment,public,2022-06-21,PT4M25S,https://i.ytimg.com/vi/OdcvlszXOH0/hqdefault.jpg,product_demo,product,sluice-box-gold-panning-kit-with-1-2-classifier-prospecting-equipment-21pc,21pc Folding 50 Inch Aluminum Sluice Box Gold Panning Kit with Gold Recovery Prospecting Tools,7,asr-outdoor-deluxe-50-aluminum-folding-sluice-box-gold-panning-backpack-kit(7) | 50-inch-aluminum-folding-sluice-box-for-gold-prospecting-backpack-kit-3-colors(7),sluice-boxes,,
UxDOZeiHAes,https://youtu.be/UxDOZeiHAes,https://www.youtube.com/embed/UxDOZeiHAes,ASR Outdoor Sluice Box Set Up Basics and Rubber Matting Recovery,public,2022-06-17,PT4M7S,https://i.ytimg.com/vi/UxDOZeiHAes/hqdefault.jpg,how_to,blog,rubber-mat-riffled-sluice-box-matting-for-gold-recovery-27x10-inch,"Large Rubber Riffled Sluice Box Matting for Gold Recovery, 27 x 10 inch",9,gold-panning-aluminum-mini-sluice-box-with-rubber-matting-12-inch(8) | aluminum-sluice-box-with-rubber-tpr-riffle-matting-gold-prospecting-equipment-34-inch(8),sluice-boxes,,
GRGKibzHhNQ,https://youtu.be/GRGKibzHhNQ,https://www.youtube.com/embed/GRGKibzHhNQ,How to Use ASR Outdoor 13 Inch Bucket Classifier Screen Sifting Pans for Gold Panning,public,2022-06-16,PT2M34S,https://i.ytimg.com/vi/GRGKibzHhNQ/hqdefault.jpg,how_to,blog,asr-outdoor-1-4-classifier-screen-set-with-10l-collapsible-bucket-gold-panning-kit,Classifier Screen with 10L Collapsible Silicone Bucket Gold Prospecting Equipment,7,5-gallong-bucket-gold-panning-classifier-screen-prospecting-equipment(7) | gold-rush-sifting-screen-classifier-sieve-mini-6-inch-multiple-mesh-sizes(6),sifters-or-classifiers,,
BX_OnDzxXRA,https://youtu.be/BX_OnDzxXRA,https://www.youtube.com/embed/BX_OnDzxXRA,How to Use ASR Outdoor Mini 6 Inch Classifier Screens for Gold Panning,public,2022-06-16,PT3M16S,https://i.ytimg.com/vi/BX_OnDzxXRA/hqdefault.jpg,how_to,blog,gold-rush-sifting-screen-classifier-sieve-mini-6-inch-multiple-mesh-sizes,"Small Stackable 6 Inch Classifier Screen Sifting Sieves, Assorted Stainless Steel Mesh Sizes",4,asr-outdoor-complete-gold-panning-kit-prospecting-equipment-with-classifier-screens-dual-riffle-gold-pans-11pc(4) | asr-outdoor-14pc-remote-adventure-30l-rucksack-gold-panning-kit-with-classifier-screens-black(4),sifters-or-classifiers,,
xCIlBiVK-hM,https://youtu.be/xCIlBiVK-hM,https://www.youtube.com/embed/xCIlBiVK-hM,ASR Outdoor x Bobby Bo 6pc Paydirt Beginner Gold Panning Kit,public,2022-06-16,PT4M3S,https://i.ytimg.com/vi/xCIlBiVK-hM/hqdefault.jpg,product_demo,product,asr-outdoor-7pc-gold-panning-kit-with-1lbs-bobby-bo-intermediate-unclassified-paydirt-bag-green-or-black,ASR Outdoor 6pc Gold Panning Kit with 1lbs Bobby Bo Intermediate Unclassified Paydirt Bag (Green or Black),8,6pc-paydirt-beginner-gold-panning-kit-with-gold-pan-vial-snuffer-bottle(8) | asr-outdoor-x-bobby-bo-assorted-paydirt-bags(7),paydirt-kits,,
