priority,item_id,title,category_id,category_path,schema_aspects,present,missing_required,missing_recommended,missing_required_names,missing_recommended_names
38,256525915552,"Disney Pixar Incredibles 2 9 pc Stationary Set UPD-INCRED-2-STATIONERY-9PC",261068,"Toys & Hobbies|Action Figures & Accessories|Action Figures",44,6,0,38,,"Franchise; Character; Movie; TV Show; Featured Person/Artist; Scale; Model; Grade; Theme; Sport; Convention/Event; Original/Licensed Reproduction; Vintage; Time Period Manufactured; Professional Grader; Certification Number; Series; Year Manufactured; Animal Species; Items Included; Features; Vehicle Type; Animation Studio; Item Height; Signed By; Signed; Personalize; Age Level; Transformer Faction; Item Length; Item Width; Autograph Authentication; Autograph Authentication Number; Autograph Format; California Prop 65 Warning; Personalization Instructions; Unit Quantity; Unit Type"
37,256510047585,"Universal Rechargeable Phone Stand Table Lamp Touch Switch 120 Lumen",112581,"Home & Garden|Lamps, Lighting & Ceiling Fans|Lamps",50,13,0,37,,"Room; Style; Sensor Type; Number of Settings; Lighting Technology; Power Source; Shade Shape; Character Family; Theme; Character; Pattern; Energy Star; Department; Control Style; EC Range; Manufacturer; Year Manufactured; Item Diameter; Amperage; Personalize; Voltage; Output Voltage; Labels & Certifications; Power Consumption; Color Temperature; IP Rating; Light Color; Lumens; Bulb Life Hours; Bulb Shape Code; Item Weight; Manufacturer Warranty; Product Line; EPREL Registration Number; Personalization Instructions; Unit Quantity; Unit Type"
36,256510047954,"Hanging Cinema String Light Boxes - 90 Characters, 20 Boxes",183394,"Home & Garden|Yard, Garden & Outdoor Living|Outdoor Lighting|String Lights",46,10,0,36,,"Style; Installation Area; Power Source; Control Style; LED String/Strip Type; Sensor Type; Lighting Technology; Occasion; Number of Lights; Light Color; Cord Color; Manufacturer; Number of Settings; Character; Theme; Amperage; Year Manufactured; Smart Home Protocol; Voltage; Power Consumption; Smart Home Compatibility; Character Family; Mounting; California Prop 65 Warning; Assembly Required; Bulb Life Hours; Color Temperature; IP Rating; Item Weight; LED Chip Code; Labels & Certifications; Lumens; Manufacturer Warranty; Required Tools; Unit Quantity; Unit Type"
34,256510047693,"Durable Portable Work Light Indoor Outdoor Multi Use Black 750 Lumen",183393,"Home & Garden|Yard, Garden & Outdoor Living|Outdoor Lighting|Security & Floodlights",46,12,0,34,,"Sensor Type; Lighting Technology; Installation Area; Power Source; Number of Lights; Light Color; Power Consumption; Number of Settings; Energy Star; Control Style; EC Range; Voltage; IP Rating; Year Manufactured; Bulb Shape Code; Amperage; Mounting; Item Diameter; Smart Home Protocol; Lumens; Personalize; Smart Home Compatibility; LED Chip Code; Labels & Certifications; Manufacturer Warranty; California Prop 65 Warning; Assembly Required; Bulb Life Hours; Item Weight; Required Tools; EPREL Registration Number; Personalization Instructions; Unit Quantity; Unit Type"
32,256510048023,"GEAR AID Dual Adjust Replacement Buckle Kit, Various Sizes, Multi-pack",181379,"Sporting Goods|Camping & Hiking|Hiking Backpacks|Backpacks",42,10,0,32,,"Sport/Activity; Capacity; Features; Department; Number of Pockets; Number of Dividers; Material; Frame Material; Closure; Compatible With; EPA Registration Number; Handle/Strap Material; Trim Material; Vintage; Personalized; Season; Accents; California Prop 65 Warning; Care Instructions; Event; Event Type; Item Depth; Item Weight; MPN; Manufacturer Warranty; Pocket Type; Position; Product Line; Strap Length; Team; Unit Quantity; Unit Type"
30,256510041789,"GEAR AID Hip Adjust Buckle, 1"", 1.5"", Black",181379,"Sporting Goods|Camping & Hiking|Hiking Backpacks|Backpacks",42,12,0,30,,"Sport/Activity; Capacity; Features; Department; Number of Pockets; Number of Dividers; Frame Material; Closure; Compatible With; EPA Registration Number; Handle/Strap Material; Trim Material; Vintage; Personalized; Season; Accents; California Prop 65 Warning; Care Instructions; Event; Event Type; Item Depth; Item Weight; Manufacturer Warranty; Pocket Type; Position; Product Line; Strap Length; Team; Unit Quantity; Unit Type"
30,256510047628,"GEAR AID Strap Tender for 1"" Webbing",36109,"Sporting Goods|Camping & Hiking|Hiking Backpacks|Other Camping & Hiking Backpacks",43,13,0,30,,"Number of Pockets; Department; Number of Dividers; Sport/Activity; Closure; Capacity; Frame Material; Compatible With; EPA Registration Number; Personalized; Signed; Vintage; Handle/Strap Material; Trim Material; Season; Manufacturer Warranty; Accents; California Prop 65 Warning; Care Instructions; Event; Event Type; Item Depth; Item Weight; Pocket Type; Position; Product Line; Strap Length; Team; Unit Quantity; Unit Type"
30,256510048011,"GEAR AID Ellipse Cord Locks, Black, Orange",181379,"Sporting Goods|Camping & Hiking|Hiking Backpacks|Backpacks",42,12,0,30,,"Sport/Activity; Capacity; Features; Department; Number of Pockets; Number of Dividers; Frame Material; Closure; Compatible With; EPA Registration Number; Handle/Strap Material; Trim Material; Vintage; Personalized; Season; Accents; California Prop 65 Warning; Care Instructions; Event; Event Type; Item Depth; Item Weight; Manufacturer Warranty; Pocket Type; Position; Product Line; Strap Length; Team; Unit Quantity; Unit Type"
30,256510048070,"GEAR AID Dual Snap Bar Buckle, 1"", Black",36109,"Sporting Goods|Camping & Hiking|Hiking Backpacks|Other Camping & Hiking Backpacks",43,13,0,30,,"Number of Pockets; Department; Number of Dividers; Sport/Activity; Closure; Capacity; Frame Material; Compatible With; EPA Registration Number; Personalized; Signed; Vintage; Handle/Strap Material; Trim Material; Season; Manufacturer Warranty; Accents; California Prop 65 Warning; Care Instructions; Event; Event Type; Item Depth; Item Weight; Pocket Type; Position; Product Line; Strap Length; Team; Unit Quantity; Unit Type"
28,256525915688,"Black Drawstring Security Strings Bag with Stopper",87122,"Sporting Goods|Camping & Hiking|Hiking Backpacks|Daypacks",41,13,0,28,,"Sport/Activity; Capacity; Number of Pockets; Department; Frame Material; Closure; Compatible With; EPA Registration Number; Number of Dividers; Trim Material; Handle/Strap Material; Season; Personalized; Accents; California Prop 65 Warning; Care Instructions; Event; Event Type; Item Depth; Item Weight; Manufacturer Warranty; Pocket Type; Position; Product Line; Strap Length; Team; Unit Quantity; Unit Type"
21,256508244309,"Microfiber Ultra Absorbent Quick Dry Gym Towel Outdoor - Navy Blue XL",40587,"Home & Garden|Bath|Bathroom Accessories|Towels & Washcloths",30,9,0,21,,"Set Includes; Theme; Room; Pattern; Character Family; Features; Softness; Department; Item Thickness; Shape; Number of Items in Set; Personalize; Care Instructions; Product Line; GSM (Grams per Square Meter); California Prop 65 Warning; Character; Labels & Certifications; Personalization Instructions; Unit Quantity; Unit Type"
20,256508244356,"Emergency Sleeping Bag Mylar Insulated Heat Light Weight 84x36 Inch",87100,"Sporting Goods|Camping & Hiking|Outdoor Sleeping Gear|Sleeping Bags",35,15,0,20,,"Fill Material; Temperature Rating; Shape; Department; Care Instructions; EPA Registration Number; Lining Material; Season; Zipper Location; Packed Size; R-Value; Fill Power; California Prop 65 Warning; Hip Girth; Manufacturer Warranty; Product Line; Shoulder Girth; Stuff Sack Size; Unit Quantity; Unit Type"
19,256508701517,"3/16"" File Chain Saw Blade Diamond Sharpening Burr Shank 120 Grit",85915,"Home & Garden|Yard, Garden & Outdoor Living|Outdoor Power Equipment|Chainsaw Parts",31,12,0,19,,"Compatible Product; Number in Pack; Power; Engine Type; Power Source; Assembly Required; Engine Size; Horsepower; Voltage; Capacity; Guide Bar Length; Year Manufactured; Item Diameter; Compatible Model; Manufacturer Warranty; Style; Item Weight; Unit Quantity; Unit Type"
18,256470598874,"Thin Clear Flexible Cutting Board Chopping Mat - 12"" x 15"" (4 Pack)",46282,"Home & Garden|Kitchen, Dining & Bar|Kitchen Tools & Gadgets|Cutting Boards",28,10,0,18,,"Number of Items in Set; Material; Features; Pattern; Personalize; Item Diameter; Wood Tone; Style; Shape; Item Weight; Item Depth; Manufacturer Warranty; Theme; California Prop 65 Warning; Unit Quantity; Unit Type; Making Method; Personalization Instructions"
17,256462817275,"Thin Clear Flexible Plastic Kitchen Cutting Board 12 Inch x 15 Inch (4 Pack)",46282,"Home & Garden|Kitchen, Dining & Bar|Kitchen Tools & Gadgets|Cutting Boards",28,11,0,17,,"Number of Items in Set; Features; Pattern; Personalize; Item Diameter; Wood Tone; Style; Shape; Item Weight; Item Depth; Manufacturer Warranty; Theme; California Prop 65 Warning; Unit Quantity; Unit Type; Making Method; Personalization Instructions"
17,256510048002,"Flexible Plastic Kitchen Cutting Board 12 Inch x 15 Inch - 4pk",46282,"Home & Garden|Kitchen, Dining & Bar|Kitchen Tools & Gadgets|Cutting Boards",28,11,0,17,,"Number of Items in Set; Pattern; Country of Origin; Personalize; Item Diameter; Wood Tone; Style; Shape; Item Weight; Item Depth; Manufacturer Warranty; Theme; California Prop 65 Warning; Unit Quantity; Unit Type; Making Method; Personalization Instructions"
17,256525915865,"Water Proof Camping Rechargable 360 Degree Bug Zapper Lantern",168867,"Sporting Goods|Camping & Hiking|Flashlights, Lanterns & Lights|Lanterns",28,11,0,17,,"Power Source; Operating Range; Item Weight; Voltage; Number of Batteries; Lighting Technology; Battery Technology; Number of Lights; Operating Time; IP Rating; Cord Type; Cable Length; California Prop 65 Warning; Lumens; Number of LEDs; Unit Quantity; Unit Type"
16,256446183412,"GEAR AID Revivex Leather Water Repellent for Shoes and Boots, 4 fl oz",259189,"Home & Garden|Home Improvement|Building & Hardware|Paint, Stain & Varnish|Sealants & Waterproofers",22,6,0,16,,"Sheen; Container Size; Number in Pack; Number of Recommended Coats; Form; Suitable For; Transparency; California Prop 65 Warning; Application Method; Base Material; Clean Up; Coverage; Drying Time; Time Before Recoating; Unit Quantity; Unit Type"
16,256510047966,"100 Pieces Self Locking Plastic Bags 2mm Thick All Purpose Storage Various Sizes",43504,"Home & Garden|Household Supplies & Cleaning|Home Organization|Storage Bags",27,11,0,16,,"Features; Capacity; Number of Items in Set; Item Depth; Item Weight; Number in Pack; Number of Compartments; Original/Reproduction; Pattern; Shape; Personalize; Theme; California Prop 65 Warning; Personalization Instructions; Unit Quantity; Unit Type"
16,256525915802,"Premium Jewelers Saw Blades 0/4 Size - 144pc Set",122838,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Saw Blades|Other Saw Blades",21,5,0,16,,"Package Quantity; Teeth per Inch; Blade Material; Blade Diameter; Material Cut; Number of Teeth; Country of Origin; Manufacturer Warranty; Item Width; Item Length; Item Height; Item Diameter; California Prop 65 Warning; Item Weight; Unit Quantity; Unit Type"
16,256546386816,"ASR Federal 21 Bulb UV Light LED Flashlight Black Light Crime Scene Investigate",16037,"Sporting Goods|Camping & Hiking|Flashlights, Lanterns & Lights|Flashlights",28,12,0,16,,"Lighting Technology; Power Source; Operating Range; Voltage; Item Weight; Number of Batteries; Battery Technology; Personalize; Operating Time; IP Rating; Number of Lights; Lumens; Number of LEDs; Personalization Instructions; Unit Quantity; Unit Type"
15,256508244466,"Outdoor Thermal Mat Heat Reflective Sleeping Pad Insulated Winter Chill",36114,"Sporting Goods|Camping & Hiking|Outdoor Sleeping Gear|Air Mattresses & Sleeping Pads",25,10,0,15,,"Suitable For; Shell Material; Department; Insulation Type; Set Includes; Temperature Rating; California Prop 65 Warning; Care Instructions; Item Weight; Manufacturer Warranty; Packed Size; Stuff Sack Size; Style; Unit Quantity; Unit Type"
15,256525915714,"Multi Color Outdoor 4 in 1 Head Lamp - 350 Lumen",106984,"Sporting Goods|Camping & Hiking|Flashlights, Lanterns & Lights|Headlamps",26,11,0,15,,"Power Source; Operating Range; Item Weight; Voltage; Lighting Technology; Number of Batteries; Battery Technology; Operating Time; Number of Lights; IP Rating; California Prop 65 Warning; Lumens; Number of LEDs; Unit Quantity; Unit Type"
15,256525915731,"SE DH09HS Diamond Hole Saw Set (10 Pc.)",122838,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Saw Blades|Other Saw Blades",21,6,0,15,,"Package Quantity; Teeth per Inch; Blade Material; Blade Diameter; Material Cut; Number of Teeth; Manufacturer Warranty; Item Width; Item Length; Item Height; Item Diameter; California Prop 65 Warning; Item Weight; Unit Quantity; Unit Type"
15,256525915747,"Folding Pocket Knife Drop Point Blade with Pouch",178084,"Sporting Goods|Hunting|Knives & Tools|Butchering Knives, Tools & Sets",21,6,0,15,,"Set Includes; Number of Tools; Tools Included; Handle Material; Blade Material; Blade Edge; Blade Length; Features; Manufacturer Warranty; Blade Hardness; California Prop 65 Warning; Item Weight; Overall Length; Unit Quantity; Unit Type"
15,256525915872,"Hardwood Handled 15"" Goldsmith Crucible Pot Holder With Adjustable Steel Tongs",20661,"Home & Garden|Kitchen, Dining & Bar|Linens & Textiles|Oven Mitts & Potholders",24,9,0,15,,"Pattern; Department; Number of Items in Set; Occasion; Theme; Style; Character Family; Set Includes; Character; Personalize; California Prop 65 Warning; Unit Quantity; Unit Type; Care Instructions; Personalization Instructions"
14,256476123885,"GEAR AID Revivex Down Cleaner and Wash for Jackets and Sleeping Bags, 10 fl oz",259621,"Home & Garden|Household Supplies & Cleaning|Cleaning Products",22,8,0,14,,"For; Form; Number in Pack; Scent; Capacity; Item Weight; Personalize; Volume; California Prop 65 Warning; Labels & Certifications; Theme; Personalization Instructions; Unit Quantity; Unit Type"
14,256508244327,"Wood Burning Wood Working and Assorted Soldering Tips Stencil Set Crafting 28pc",46413,"Home & Garden|Tools & Workshop Equipment|Power Tools|Welding & Soldering Tools",17,7,1,9,Type,"Power Source; Voltage; Manufacturer Warranty; Item Width; Item Length; Item Diameter; California Prop 65 Warning; Unit Quantity; Unit Type"
14,256508244360,"Thin Clear Flexible Plastic Kitchen Cutting Board 12 Inch x 15 Inch (6 Pack)",46282,"Home & Garden|Kitchen, Dining & Bar|Kitchen Tools & Gadgets|Cutting Boards",28,14,0,14,,"Pattern; Personalize; Wood Tone; Style; Shape; Item Weight; Item Depth; Manufacturer Warranty; Theme; California Prop 65 Warning; Unit Quantity; Unit Type; Making Method; Personalization Instructions"
