item_id,sku,title,image_count,all_eps,non_eps_images,min_long_px,below_zoom_800,below_ideal,priority,issue,recommended_action,self_hosted_urls,low_res_urls,approved,reviewer_notes
256525915661,SON-GRAPHITECRUCIBLES-PARENT,Universal Tool Graphite Crucible for Melting Gold and Silver (Many Sizes),15,no,15,,0,0,HIGH,15 self-hosted (non-EPS),Re-upload 15 image(s) to eBay Picture Services (EPS),https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/gold_panning/accessories/GC6060_crucible_2.38_2.38_stock1.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/gold_panning/accessories/crucible-1-5-x-1-5-3.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/gold_panning/accessories/crucible-1-5-x-1-5-2.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/gold_panning/accessories/crucible-1-5-x-1-5-1.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/gold_panning/crucible-2-5-x-2-5-1.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/gold_panning/crucible-2-5-x-2-5-2.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/gold_panning/crucible-2-5-x-2-5-3.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/gold_panning/accessories/crucible-2-5-x-6-5-1.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/gold_panning/accessories/crucible-2-5-x-6-5-2.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/gold_panning/accessories/crucible-2-5-x-5-1.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/gold_panning/accessories/crucible-2-5-x-5-2.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/gold_panning/accessories/crucible-2-5-x-5-3.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/gold_panning/accessories/crucible-2-x-2-1.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/gold_panning/accessories/crucible-2-x-2-2.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/gold_panning/accessories/crucible-2-x-2-3.jpg,,,
254735968039,MCN-TENACIOUSTAPE-PARENT-AMZ,"GEAR AID Tenacious Tape Ripstop Nylon Repair Tape for Fabric and Vinyl, 3"" x 20""",15,no,15,,0,0,HIGH,15 self-hosted (non-EPS),Re-upload 15 image(s) to eBay Picture Services (EPS),https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/cleartt.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/owtt.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/owp.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/71KcSObyC0S._AC_SL1500_.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/71UxELbGfES._AC_SL1500_.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/odgtt.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/71lAiN6wYtS._AC_SL1500_.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/outerwear/81xijq9XjuL._AC_SL1500_.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/sgp.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/ttb.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/ttapr.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/ttaprp.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/ytt.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/yttp.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/TenaciousTape-NylonStrip-Orange-Comp-01.jpg,,,
256249413299,MCN-CAMOFORM-EBAY2-PARENT,"GEAR AID Camo Form Self-Cling Reusable Camouflage Wrap 2"" x 144"", Various Colors",15,no,15,,0,0,HIGH,15 self-hosted (non-EPS),Re-upload 15 image(s) to eBay Picture Services (EPS),https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/obession_roll.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/kryptek_highlander_roll.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/kryptek_highlander_new_packaging.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/mossy_oak_shadow_grass_roll.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/mossy_oak_shadow_grass_new_packagin.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/digi_wooland_roll.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/digi_woodland_new_packaging.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/vistapi.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/VistaPinkLT1.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/SnowNew.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/SnowNewPackaging.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/digi_desert_roll.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/digi_desert_new_packaging.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/MT-CF-MultiCam-Comp-19418.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/multi.jpg,,,
256446183485,MCN-TACMICRTERTOWEL-PARENT-HPN-2,"GEAR AID Quick Dry Microfiber Towel for Travel, Camping, Sports, XL, 35” x 62”",11,no,11,,0,0,HIGH,11 self-hosted (non-EPS),Re-upload 11 image(s) to eBay Picture Services (EPS),https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/microcot.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/navg.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/navg2.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/odg2.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/odg.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/micn.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/navy.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/68132_package.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/68132_angle.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/sandto.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/personal_care/towels/xlarge_44038_MT_SandXlarge_comp.jpg,,,
256510047992,MCN-ULCOMMICFIBTOW-PARENT-HPN,"GEAR AID Quick Dry Microfiber Towel for Travel, Camping and Sports, L, 30"" x 50""",10,no,10,,0,0,HIGH,10 self-hosted (non-EPS),Re-upload 10 image(s) to eBay Picture Services (EPS),https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/microcot.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/od.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/od2.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/blueto.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/bluet2.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/navg.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/navg2.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/towelco.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/cotal.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/mocha.jpg,,,
256446183505,MCN-TENTAPE-GEARPATCHES-PARENT,"GEAR AID Tenacious Tape Wildlife Patches for Jackets, Tent, Gear Repair 3"" x 20""",9,no,9,,0,0,HIGH,9 self-hosted (non-EPS),Re-upload 9 image(s) to eBay Picture Services (EPS),https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/campingpat.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/outerwear/10895_outdoors_tape_black1.JPG | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/outerwear/10895_outdoors_tape_black2.JPG | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/outerwear/81ETxu2chfL._AC_SL1500_.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/outerwear/81LIfDX8mcL._AC_SL1500_.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/outerwear/81ZCYUkGydL._AC_SL1500_.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/outerwear/91lxE2TumvL._AC_SL1500_.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/outerwear/919JdGhtxvL._AC_SL1500_.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_repair/outerwear/81R2z56emML._AC_SL1500_.jpg,,,
256380454290,MCN-NIGLO-PARENT,"GEAR AID Ni Glo 2"" Glowing Keychain for Camping, SCUBA, Fishing, Multi Colors",8,no,8,,0,0,HIGH,8 self-hosted (non-EPS),Re-upload 8 image(s) to eBay Picture Services (EPS),https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_aid_91500.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_aid_91502.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_aid_91502_main.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_aid_91504.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_aid_91504_main.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_aid_91504_rear.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_aid_91500_backpack.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/camping_hiking/gear_aid_91500_tent.jpg,,,
256509144716,KOL-FRUITVEGGIEPEELER-PARENT,Universal Handy Helpers Fruit and Vegetable Peeler Dishwasher Safe (2 Colors),6,no,6,,0,0,HIGH,6 self-hosted (non-EPS),Re-upload 6 image(s) to eBay Picture Services (EPS),https://s3.amazonaws.com/DOWS_products/1000x1000/home/gl326_green-main.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/home/gl326_red-main.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/home/gl326_red-detail.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/home/gl326_red-lifestyle.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/home/gl326_red-scale.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/home/gl326_red-package.jpg,,,
256468957823,SON-PARACORD-PARENT,ASR Outdoor Survival Paracord Rope 100ft (10 Colors),6,no,6,,0,0,HIGH,6 self-hosted (non-EPS),Re-upload 6 image(s) to eBay Picture Services (EPS),https://s3.amazonaws.com/DOWS_products/1000x1000/home/garden/Neon-Rope1.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/rope_cord/PC111GR55_grey_paracord_100ft_stock2.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/rope_cord/PC112KH55_khaki_paracord_100ft_stock2.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/rope_cord/PC112KH55_khaki_paracord_100ft_stock1.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/rope_cord/PC131LDC55_sidewinder_paracord_100ft_stock2.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/sports_outdoors/rope_cord/PC131LDC55_sidewinder_paracord_100ft_stock1.jpg,,,
256510047702,MCN-PCSTUCCS-550-100-PARENT,"GEAR AID 550 Paracord and Carabiner 7 Strand Utility Camping, Reflective, 100 ft",5,no,5,,0,0,HIGH,5 self-hosted (non-EPS),Re-upload 5 image(s) to eBay Picture Services (EPS),https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/brp.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/cpp.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/cord/MCN-PCSTUCCS-550-CAMO-100FT_MAIN.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/repair/orpp.jpg | https://s3.amazonaws.com/DOWS_products/1000x1000/camping_outdoors/cord/MCN-PCSTUCCS-550-ORNG-R-100FT_MAIN.jpg,,,
