Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Accessory size (product.metafields.shopify.accessory-size),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Animal type (product.metafields.shopify.animal-type),Authenticity (product.metafields.shopify.authenticity),Bag/Case closure (product.metafields.shopify.bag-case-closure),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Battery type (product.metafields.shopify.battery-type),Blade design (product.metafields.shopify.blade-design),Blade material (product.metafields.shopify.blade-material),Bug type (product.metafields.shopify.bug-type),Candle type (product.metafields.shopify.candle-type),Carabiner gate type (product.metafields.shopify.carabiner-gate-type),Carabiner shape (product.metafields.shopify.carabiner-shape),Care instructions (product.metafields.shopify.care-instructions),Carry options (product.metafields.shopify.carry-options),Case color (product.metafields.shopify.case-color),Clothing accessory material (product.metafields.shopify.clothing-accessory-material),Color (product.metafields.shopify.color-pattern),Compass style (product.metafields.shopify.compass-style),Condition (product.metafields.shopify.condition),Drinkware material (product.metafields.shopify.drinkware-material),Fabric (product.metafields.shopify.fabric),Features (product.metafields.shopify.features),First aid kit components (product.metafields.shopify.first-aid-kit-components),First aid kit usage (product.metafields.shopify.first-aid-kit-usage),Geological era (product.metafields.shopify.geological-era),Hand warmer type (product.metafields.shopify.hand-warmer-type),Handle material (product.metafields.shopify.handle-material),Hardware material (product.metafields.shopify.hardware-material),Housing material (product.metafields.shopify.housing-material),Hunting/Survival knife design (product.metafields.shopify.hunting-survival-knife-design),Knife type (product.metafields.shopify.knife-type),Light color (product.metafields.shopify.light-color),Light source (product.metafields.shopify.light-source),Light temperature (product.metafields.shopify.light-temperature),Lighting features (product.metafields.shopify.lighting-features),Lock type (product.metafields.shopify.lock-type),Material (product.metafields.shopify.material),Neckline (product.metafields.shopify.neckline),Net material (product.metafields.shopify.net-material),Notepad cover type (product.metafields.shopify.notepad-cover-type),Notepad design (product.metafields.shopify.notepad-design),Outerwear clothing features (product.metafields.shopify.outerwear-clothing-features),Paper type (product.metafields.shopify.paper-type),Power source (product.metafields.shopify.power-source),Product use (product.metafields.shopify.product-use),Rarity (product.metafields.shopify.rarity),Recommended age group (product.metafields.shopify.recommended-age-group),Scent (product.metafields.shopify.scent),Seat type (product.metafields.shopify.seat-type),Sheet color (product.metafields.shopify.sheet-color),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Suitable space (product.metafields.shopify.suitable-space),Target gender (product.metafields.shopify.target-gender),Tool/Utensil material (product.metafields.shopify.tool-utensil-material),Toy/Game material (product.metafields.shopify.toy-game-material),Usage type (product.metafields.shopify.usage-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,5pc Metal Detecting Tools Kit with Drawstring Backpack (3 Colors),"<p>Whether you’re already a metal detecting enthusiast or just beginning this new hobby, the ASR Outdoor 5pc treasure hunting kit comes with everything you’ll need to quickly dig through silt, sand, and dirt for precious metals and gems. Inside the kit, you’ll find a trowel, a sand scoop with sifting holes, a beach digger scoop with a built-in coin probe, and a drawstring backpack to hold all of the kit items.</p>
<p>The hand trowel is constructed of lightweight and durable plastic and features a 4-inch measuring scale to control the depth of digging. It also features a rubberized thumb grip for added comfort and a convenient hang hole on the handle for easy storage when not in use.</p>
<p>We’ve also included a 9” length sand scoop featuring a 6” wide mouth for removing sand and rocks while digging for treasure. Each scoop has 78 holes and is made of single-construction durable plastic to ensure a long life. This material is especially useful during metal detection because it will not give false positive readings under a metal detector or pin pointer. </p>
<p>Additionally, we’ve added a large sand scoop with an ergonomic handle that also doubles as a coin probe so you can more easily locate metals while digging in dirt, sand, and soft-pack gravel areas. All of these items fit inside a durable polyester drawstring backpack so you can travel with them easily. The bag features reinforced corners and measures 17” x 12.5”. This kit is a great gift idea for yourself or other metal-detecting enthusiasts and treasure hunters!</p>
<ul>
<li class=""a-spacing-mini""><span class=""a-list-item""> 5PC METAL DETECTING TOOLS BUNDLE: ASR Outdoor metal detecting kit comes with 5 treasuring hunting essentials: a trowel shovel, a sand scoop with sifting holes, a beach digger scoop with matching coin probe; All kit pieces fit inside included drawstring backpack for easy travel </span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""> 11 INCH HAND TROWEL: Hand trowel is made of durable, lightweight plastic featuring a 4 inch measuring scale to control depth of digging; Comes with rubberized thumb grip for added comfort and ease of use; Hang up hole on handle for easy storage when not in use </span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""> METAL DETECTING SAND SCOOP: 9"" length sand scoop features 6"" wide mouth for easily removing rocks and sand while digging for treasure; 78 holes per scoop assists with removing silt from river beds; Made of single construction durable plastic that will not give false positive readings under a metal detector </span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""> SAND SCOOP DIGGER WITH COIN PROBE: Accessories kit also comes with large sand scoop with an ergonomic handle; Handle also doubles as a coin probe for locating precious metals and gems while beach digging and treasure hunting </span></li>
<li class=""a-spacing-mini""><span class=""a-list-item""> DRAWSTRING BACKPACK: Durable polyester travel backpack features strong grommets for security strings and stopper for keeping contents safely in the bag during travel; Measures 17"" x 12.5"" and comes with reinforced corners</span></li>
</ul>
<p><strong><strong data-start=""2077"" data-end=""2155""><span class=""a-text-bold""><span style=""font-size: 11.0pt; line-height: 115%; font-family: 'Arial',sans-serif;""><span style=""font-family: Verdana;""><span class=""a-list-item""><img src=""https://cdn.shopify.com/s/files/1/0783/2056/6572/files/Shopify_Prop65graphic_480x480.jpg?v=1692130729"" alt="""" width=""273"" height=""78"" style=""display: block; margin-left: auto; margin-right: auto;""></span></span></span></span></strong></strong></p>",ASR Outdoor,Business & Industrial > Law Enforcement > Metal Detectors,Metal Detecting,"",true,Color,black,product.metafields.shopify.color-pattern,,,,,,,SON-SUPERSCOOP-5PC-KIT-BLK,1292.7382545,shopify,73,deny,manual,29.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0783/2056/6572/files/asr-5pc-metal-detect-kit-black23-main-pl.jpg?v=1781133951,1,5-piece metal detecting tools kit with a drawstring backpack (view 1).,false,"Metal Detecting Tools Kit with Backpack, 5pc | ASR Outdoor","Five-piece metal detecting kit with an 11-inch hand trowel, sifting sand scoop, coin-probe beach digger, and a drawstring backpack for easy travel.",3937,unisex,adult,,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black; green; orange,,,,,,,,,,,,,,,,,,,,plastic,,,,,,,manual,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/asr-5pc-metal-detect-kit-black23-main-pl.jpg?v=1781133951,lb,,,true,,,true,,,active
5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,,,,,,,,,green,,,,,,,,SON-SUPERSCOOP-5PC-KIT-GRN,1292.7382545,shopify,22,deny,manual,29.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0783/2056/6572/files/ASR_5pc_metal_detect_kit_black_scale_pl.jpg?v=1781134220,2,5-piece metal detecting tools kit with a drawstring backpack (view 2).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/asr-5pc-metal-detect-kit-green-main-pl.jpg?v=1781133959,lb,,,,,,,,,
5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,,,,,,,,,orange,,,,,,,,SON-SUPERSCOOP-5PC-KIT-ORG,1292.7382545,shopify,47,deny,manual,29.99,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0783/2056/6572/files/asr-5pc-metal-detect-kit-green-main-pl.jpg?v=1781133959,3,5-piece metal detecting tools kit with a drawstring backpack (view 3).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/asr-5pc-metal-detect-kit-orange-main2-pl.jpg?v=1781133968,lb,,,,,,,,,
5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/ASR_5pc_metal_detect_kit_green_scale_pl.jpg?v=1781134220,4,5-piece metal detecting tools kit with a drawstring backpack (view 4).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/asr-5pc-metal-detect-kit-orange-main2-pl.jpg?v=1781133968,5,5-piece metal detecting tools kit with a drawstring backpack (view 5).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/ASR_5pc_metal_detect_kit_orange_scale_pl.jpg?v=1781134220,6,5-piece metal detecting tools kit with a drawstring backpack (view 6).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/BG-210DSB-BK_drawstring_logo_detail1_PL_24082df4-d54d-42bf-a1be-cd3a37c4958f.jpg?v=1781134305,7,5-piece metal detecting tools kit with a drawstring backpack (view 7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/BG-210DSB-BK_drawstring_logo_detail5_PL_1_cf268c0d-a59f-4f43-a735-9f37d0c49af5.jpg?v=1781134305,8,5-piece metal detecting tools kit with a drawstring backpack (view 8).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/BG-210DSB-BK_drawstring_logo_scale_PL_23e47afb-fcc7-4466-a121-35ac83d32235.jpg?v=1781134305,9,5-piece metal detecting tools kit with a drawstring backpack (view 9).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5pc-metal-detecting-tools-kit-with-drawstring-bag-3-colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0783/2056/6572/files/BG-210DSB-BK_drawstring_logo_lifestyle1_PL.jpg?v=1781134342,10,5-piece metal detecting tools kit with a drawstring backpack (view 10).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
