numeric_id,title,product_type,category,body_len,weak_source,body_snippet
8406498541868,"24pc Deluxe 50 Inch Aluminum Folding Sluice Box Gold Panning Kit with 30L Backpack","Gold Panning","Sporting Goods > Outdoor Recreation",1762,,"The ASR Outdoor 24piece Deluxe Sluice Box Gold Prospecting Kit comes with everything you need to strike it rich in one convenient place. All of the items included fit neatly into a"
8461244170540,"20oz Rock Pick Mining Hammer, 11-inch Pointed Tip Gold Prospectors Tool","Gold Panning","Hardware > Tools > Hammers",2660,,"SINGLE PIECE HARDENED STEEL: Extremely durable and able to withstand a constant pounding whether it is for rock hounding geology or gold prospecting ANTI-FATIGUE RUBBER GRIP: Featu"
8461244367148,"Multi Riffle Plastic Sluice Box Gold Prospecting Equipment, Green","Gold Panning","Sporting Goods",2679,,"HIGH YIELD GOLD RECOVERY: Four Molded Riffle Collection Trap Designs are Built in Through the Sediment Channel which Help You Effortlessly Collect more Flake and Nuggets; Hungarian"
8461244793132,"7pc Beginner Sluice Box Gold Panning Kit with Gold Prospecting Equipment (Aluminum or Plastic)","Gold Panning","Sporting Goods",4264,,"HIGH-YIELD GOLD RECOVERY: Four Molded Riffle Collection Trap Designs are Built in Through the Sediment Channel which Help You Effortlessly Collect more Flake and Nuggets; Hungarian"
8491279384876,"ASR Outdoor X Pan for Gold with Bobby Bo 3oz Beginner Paydirt Gold Panning Kit, 6pc","Gold Panning","Sporting Goods > Outdoor Recreation",2788,,"Learn how to pan for gold with this five piece ASR Outdoor gold pan kit for beginners. This exciting new prospecting starter gold panning kit includes engineered gold paydirt by pr"
8491328143660,"24pc Gold Panning Kit with 5 Gallon Bucket and 10lb Pan for Gold with Bobby Bo Paydirt (2 Colors)","Gold Panning","Sporting Goods > Outdoor Recreation",2927,,"GOLD PANNING KIT: Develop gold panning skills and techniques with the ASR Outdoor x Bobby Bo 10lbs Paydirt Kit! While the paydirt is intended for practicing gold panning skills at "
8491384897836,"7pc Kids Starter Gold Panning Kit Beginner Prospecting Equipment with Paydirt (3 Colors)","Gold Panning","Sporting Goods > Outdoor Recreation",3417,,"7PC KIDS GOLD PANNING KIT: ASR Outdoor beginner’s gold prospecting kit comes with everything kids or beginners need to practice gold panning; plastic scoop, 6 inch classifier, coll"
8491401380140,"ASR Outdoor Gold Panning Paydirt 1LB Advanced Bag Gold Prospecting Concentrate Flakes (Green or Black)","Gold Panning","Sporting Goods",2941,,"7PC GOLD PANNING KIT: Advance gold panning skills with ASR Outdoor x Bobby Bo Intermediate Paydirt Gold Panning Kits! Featuring unclassified intermediate level paydirt and essentia"
8493498204460,"ASR Outdoor 6pc Gold Panning Kit with 1lbs Bobby Bo Intermediate Unclassified Paydirt Bag (Green or Black)","Gold Panning","Sporting Goods",2941,,"6PC GOLD PANNING KIT: Advance gold panning skills with ASR Outdoor x Bobby Bo Intermediate Paydirt Gold Panning Kits! Featuring unclassified intermediate level paydirt and essentia"
8493515178284,"ASR Outdoor Beginner Gold Panning Kit with 1LB Guaranteed Gold Paydirt (3 Colors), 6pc","Gold Panning","Sporting Goods > Outdoor Recreation",2108,,"6PC GOLD PANNING KIT: Advance gold panning skills with ASR Outdoor x Bobby Bo Beginner Paydirt Gold Panning Kits! Featuring beginner level paydirt and easy to use gold prospecting "
8493529727276,"Dual Riffle Gold Pans Gold Prospecting Equipment (3 Colors and Sizes)","Gold Panning","Sporting Goods",1571,,"DUAL RIFFLE GOLD PAN: Gold Pan incorporates both deep and shallow riffle side wall, allowing better separation of gold from other heavy minerals HIGH QUALITY FABRICATION: Molded fr"
8493540180268,"17pc Complete Backpack Sluice Box Gold Panning Kit with 10lb Bobby Bo Intermediate Gold Paydirt (3 Colors)","Gold Panning","Sporting Goods",3655,,"GOLD PANNING KIT: A portable kit for the avid prospector, we’ve included all the necessary gold prospecting equipment for end to end processing, as well as a 10lb bag of ASR Outdoo"
8493678985516,"15pc Travel Backpack Gold Panning Kit with Mini Sluice Box and 3lb Gold Bobby Bo Paydirt (2 Styles)","Gold Panning","Sporting Goods",3583,,"GOLD PANNING KIT WITH PAY DIRT: 3lbs bag of unclassified gold pay dirt paired with our popular lightweight backpack gold panning kit, means you can practice and enhance gold pannin"
8495190245676,"5pc Beginners Gold Panning Kit with Pan, Glass Vials, Snifter Bottle, Magnifying Tweezers","Gold Panning","Sporting Goods",1613,,"DUAL RIFFLE GOLD PAN: 10 inch in diameter with deep and shallow riffles; must be seasoned before use GLASS VIAL: 2x Glass vials (1 large and 1 small) with screw top lid for storage"
8495198667052,"14pc Backpack Gold Panning Kit with Mini Sluice Boxes (2 Styles)","Gold Panning","Sporting Goods > Outdoor Recreation",3177,,"COMPACT SLUICE GOLD PANNING KIT: Included gold recovery tools; ASR Outdoor dual riffle pans, heavy duty sand scoop and mini sluice box, cleaning and storage equipment, plastic pipe"
8495203287340,"50 Inch Aluminum Folding Gold Sluice Box Prospecting Equipment","Gold Panning","Sporting Goods",2798,,"PORTABLE DESIGN: Sluice Box folds down compact for easy storage and carrying. You can backpack this gold sluice box into remote areas or even carry it inside a 5 gallon bucket EFFO"
8502255157548,"Stackable 5 Gallon Bucket Classifier Screens Sifting Sieves (Many Sizes)","Gold Panning","Sporting Goods",1938,,"5 GALLON CLASSIFIER SCREEN: Soil sifting mesh classifiers will fit on top of 5 gallon bucket and our 14 inch gold pan; Interlocking, stackable design; Top Diameter: 13.25 inches, B"
8502335045932,"Large Gold Panning Prospector's Sand Scoop Hand Trowel (4 Colors)","Gold Panning","Sporting Goods",3008,,"GOLD PANNING SCOOP: An essential gold mining equipment tool for your gold panning kit. The plastic gold prospecting sand scoop shovel will help in your gold recovery efforts, espec"
8502378823980,"Small Stackable 6 Inch Classifier Screen Sifting Sieves, Assorted Stainless Steel Mesh Sizes","Gold Panning","Business & Industrial > Mining & Quarrying > Mining & Quarrying Supplies",2118,,"HIGH IMPACT PLASTIC: Made with high quality ABS plastic formed around 304 stainless steel wire mesh; ideal tool for removing large unwanted raw material from paydirt concentrate li"
8502395011372,"Mini Portable Aluminum Sluice Box with Rubber Matting Gold Prospecting Equipment, 12 Inch","Gold Panning","Sporting Goods",2890,,"NO ASSEMBLY REQUIRED: Ready to use out of the box; Uses wing nut closures for easy set up; No tools required; Run gold paydirt and processed concentrate to maximize your gold recov"
8502409855276,"Mini Portable 3 Riffle Rubber Sluice Box Gold Prospecting Equipment, 12 Inch","Gold Panning","Sporting Goods",3515,,"MAXIMUM PAYDIRT RECOVERY - Always reliable and able to maximize your gold recovery efforts, this pocket sluice box is best used to find the fine gold in your tailings, concentrate "
8502466216236,"8.5 inch Large Plastic Sand Scoop for Metal Detector Treasure Hunting (3 Colors)","Gold Panning","Sporting Goods > Outdoor Recreation > Camping & Hiking > Camping Tools",1491,,"METAL DETECTING SAND SCOOP – The ASR Outdoor sand scoop digger is an essential accessory for metal detection. It measures 9” in length and has a 6” wide mouth so you can easily rem"
8502535192876,"16pc Beginner Geology Rock Hounding Kit with Mining Tools and Tool Bag","Rock Hounding","Sporting Goods",3157,,"If rock hounding, gem hunting or fossil finding are your outdoor hobby or keen geological interest, you’ll need the right tools to set yourself up for success in the field. From br"
8502573924652,"3oz Plastic Heavy Duty Gold Snifter Bottle with Squeeze Nozzle (Multi-Packs)","Gold Panning","Sporting Goods",536,,"The ASR Outdoor Gold Snifter Bottles are a must-have essential tool for all gold prospectors. This handy bottle is perfect for extracting gold from gold pans. Simple to use, just s"
8502621208876,"Large Rubber Riffled Sluice Box Matting for Gold Recovery, 27 x 10 inch","Gold Panning","Sporting Goods",3408,,"FLEXIBLE RUBBER SLUICE MAT: Once your material is run through the mat it can easily be rolled up letting you rinse out the concentrate that you have trapped; Made from TPR rubber t"
8502631498028,"20pc Mini Pocket Sluice Box with 3.5 Gallon Bucket Gold Panning Kit (2 Styles)","Gold Panning","Sporting Goods",3794,,"GOLD PANNING KIT: 20pc complete rubber sluice box kit with 3.5 gallon bucket and mini classifier screens is intended for start to finish raw material processing; kit includes every"
8502674391340,"13pc Portable Gold Panning Kit with Collapsible Bucket, Mini Aluminum Sluice Box and 30L Backpack (4 Colors)","Gold Panning","Sporting Goods > Outdoor Recreation",3003,,"13PC GOLD PANNING KIT: 13pc Gold Panning Kit comes with everything you’ll need to pan for gold including a sifting classifier, gold pans, sand scoop, mini sluice box, glass vials, "
8504355389740,"10pc Beginner Gold Panning Kit Gold Prospecting Equipment (3 Colors)","Gold Panning","Sporting Goods > Outdoor Recreation",2434,,"The ASR Outdoor 10 piece gold panning kit comes with everything you’ll need to get started on your gold prospecting adventure. The gold prospecting equipment included is designed t"
8504457167148,"4x Magnification Steel Magnifying Tweezers Gold Prospecting Equipment, 1 Pair","Gold Panning","Sporting Goods",571,,"4x Magnification 1"" Glass Lens 1"" Diameter Optical Quality Glass Lens Fold Compactly for Easy Travel & Storage The ASR Outdoor Tweezers are the essential utilitarian tweezers for i"
8517567316268,"10 Inch Traditional Single Riffle Standard Gold Pan (3 Colors)","Gold Panning","Sporting Goods",909,,"SINGLE RIFFLE GOLD PAN: Standard riffled wall, traditional gold panning design HIGH QUALITY FABRICATION: Molded from one piece of ABS plastic, this gold pan is lightweight, rust an"
8517589303596,"14 Inch Traditional Large Single Ridge Riffle Finishing Gold Pan with Water Guide (2 Colors)","Gold Panning","Sporting Goods",1603,,"SINGLE RIFFLE: Gold pan incorporates a traditional ridge riffle side wall to help trap gold; used for gold panning and testing of deposits of heavy minerals LARGE DIAMETER: 14 Inch"
