#,youtube_id,watch_page_title,handle,mt_len,md_len,flags,meta_title,meta_description,on_page_body,upload_date,duration_iso,length
1,3KRzsc-stEE,"How to Use the ASR Outdoor Mini Rubber Pocket Sluice Box",how-to-use-mini-rubber-pocket-sluice-box,44,152,,"How to Use the Mini Rubber Pocket Sluice Box","Watch how ASR Outdoor's 12-inch mini rubber pocket sluice box traps fine gold in the field — portable, lightweight, and ideal for on-the-go prospecting.","The 12-inch mini rubber sluice box is portable, lightweight, and designed for fine gold recovery in the field. In this quick demo, see how the pocket-sized 3-riffle TPR mat traps fine gold flakes, and how to carry it on a rucksack for prospecting on the go.",2022-06-16,PT1M33S,1:33
2,3N-gFD2G-jQ,"Large-Capacity Rock Hounding Tool Bag",large-capacity-rock-hounding-tool-bag,37,147,,"Large-Capacity Rock Hounding Tool Bag","See the ASR Outdoor large-capacity rock hounding tool bag — multiple compartments to carry your tools, specimens, and gear organized on every hunt.","A quick look at the ASR Outdoor large-capacity rock hounding tool bag. With multiple compartments and plenty of room, it carries all your rockhounding gear, found specimens, and personal belongings so you stay organized on the hunt.",2025-09-26,PT25S,0:25
3,5ZUFmtFPgdE,"How to Choose the Correct Gold Pan for Gold Panning",how-to-choose-the-correct-gold-pan,34,141,,"How to Choose the Correct Gold Pan","Learn how to choose the right gold pan type and size for gold panning — riffle zones, pan sizes, and which pan works best for each excursion.","Not sure which type or size of gold pan is right for you? This guide walks through the different gold pan types, sizes, and riffle zones so you can pick the best pan for each excursion and recover more fine gold and nuggets.",2022-06-16,PT2M53S,2:53
4,BX_OnDzxXRA,"How to Use 6-Inch Classifier Screens for Gold Panning",how-to-use-6-inch-classifier-screens,36,143,,"How to Use 6-Inch Classifier Screens","Watch how to use ASR Outdoor's 6-inch classifier screens to sift and sort paydirt by size — an essential first step for efficient gold panning.","Classifying paydirt is one of the first steps in successful gold prospecting. See how ASR Outdoor's 6-inch stainless mesh classifier screens sort raw material by size so fine gold isn't lost during panning and sluicing.",2022-06-16,PT3M17S,3:17
5,D0Sch7DMcHM,"The Best Shovels, Hammers & Picks for Gold Prospecting",best-shovels-hammers-picks-for-gold-prospecting,45,149,,"Best Shovels, Hammers & Picks for Prospecting","Compare the best shovels, pick axes, and rock hammers for gold prospecting, from full-size to collapsible tools, and find the right dig tool for you.","A rundown of the best digging tools for gold prospecting — from a 28-inch shovel and collapsible shovels to compact pick axes and a rock pick hammer. Find the right tool to reach and break up paydirt for your goals.",2023-09-25,PT3M21S,3:21
6,F3nU7PYk2CU,"ASR Outdoor 30-Inch Plastic Sluice Box Setup & Features",30-inch-plastic-sluice-box-setup,43,134,,"30-Inch Plastic Sluice Box Setup & Features","Setup and features of the ASR Outdoor 30-inch plastic sluice box — lightweight, no assembly, and built for prospectors of every level.","See the setup and features of ASR Outdoor's 30-inch high-impact ABS plastic sluice box. Lightweight, unibody, and no assembly required, with carabiners for a shoulder strap — a great sluice for prospectors of all levels.",2022-06-29,PT2M34S,2:34
7,GRGKibzHhNQ,"How to Use 13-Inch Bucket Classifier Sifting Pans",how-to-use-13-inch-bucket-classifier-pans,41,135,,"How to Use 13-Inch Bucket Classifier Pans","Learn how to use ASR Outdoor's 13-inch bucket classifier sifting pans to sort paydirt by size for faster, more efficient gold recovery.","These 13-inch stackable bucket classifier screens sit on a bucket to sort unclassified paydirt into finer, workable material. Learn how proper classification by size makes gold panning, sluicing, and high-banking far more efficient.",2022-06-16,PT2M34S,2:34
8,I52rzwyfliE,"How to Use the ASR Outdoor 12-Inch Aluminum Sluice Box",how-to-use-12-inch-aluminum-sluice-box,42,140,,"How to Use the 12-Inch Aluminum Sluice Box","Watch how to use ASR Outdoor's 12-inch aluminum sluice box with V-groove rubber matting to capture fine gold flakes from classified paydirt.","The 12-inch aluminum sluice box is ideal for sluicing smaller amounts of classified paydirt and capturing fine gold flakes and flour. See how the V-groove rubber matting traps fine gold — perfect for the field, home cleanup, or beginners.",2022-06-15,PT1M46S,1:46
9,KLobXEEdf1Q,"Unboxing the 12pc Break Your Own Geodes Kit",unboxing-break-your-own-geodes-kit,38,148,,"Unboxing the Break Your Own Geodes Kit","Unboxing ASR Outdoor's 12pc Break Your Own Geodes Kit — 10 geodes, sledge hammer, and goggles. See how to safely crack them and the crystals inside.","A full look at the ASR Outdoor 12-piece Break Your Own Geodes Kit — 10 real geodes, a sledge hammer, and safety goggles. See how to safely break them open and the crystals hidden inside. A fun, educational activity for all ages.",2024-09-13,PT3M,3:00
10,O_ithEcabnU,"Waterproof First Aid Kit — Full Submersion Test",waterproof-first-aid-kit-submersion-test,40,136,,"Waterproof First Aid Kit Submersion Test","Watch ASR Outdoor's 50-piece waterproof first aid kit take a full submersion test — buoyant, hard-cased, and ready to clip to your pack.","Can a first aid kit survive full water submersion? Watch the test. This waterproof, buoyant 50-piece kit packs into a durable hard case with a carabiner to attach to your pack — first aid essentials that stay dry outdoors.",2026-02-25,PT23S,0:23
