media_id,alt
gid://shopify/MediaImage/43430222201132,"24-piece deluxe gold panning kit with a 50-inch folding aluminum sluice box and 30L backpack (view 1)."
gid://shopify/MediaImage/43430220792108,"24-piece deluxe gold panning kit with a 50-inch folding aluminum sluice box and 30L backpack (view 2)."
gid://shopify/MediaImage/42522948665644,"Green plastic multi-riffle sluice box for gold prospecting (view 1)."
gid://shopify/MediaImage/42522948337964,"Green plastic multi-riffle sluice box for gold prospecting (view 2)."
gid://shopify/MediaImage/42423750099244,"Stackable 5-gallon bucket gold classifier screens in assorted stainless mesh sizes."
gid://shopify/MediaImage/43402555261228,"13-piece portable gold panning kit with a collapsible bucket, mini aluminum sluice box, and 30L backpack (view 1)."
gid://shopify/MediaImage/43402555326764,"13-piece portable gold panning kit with a collapsible bucket, mini aluminum sluice box, and 30L backpack (view 2)."
gid://shopify/MediaImage/43402564239660,"13-piece portable gold panning kit with a collapsible bucket, mini aluminum sluice box, and 30L backpack (view 3)."
gid://shopify/MediaImage/43402562568492,"13-piece portable gold panning kit with a collapsible bucket, mini aluminum sluice box, and 30L backpack (view 4)."
gid://shopify/MediaImage/42534064849196,"50-inch folding aluminum sluice box backpack kit for gold prospecting (view 1)."
gid://shopify/MediaImage/42534070518060,"50-inch folding aluminum sluice box backpack kit for gold prospecting (view 2)."
gid://shopify/MediaImage/42534035423532,"30L heavy-stitch canvas gold panning backpack rucksack for camping and prospecting (view 1)."
gid://shopify/MediaImage/42500190175532,"30L heavy-stitch canvas gold panning backpack rucksack for camping and prospecting (view 2)."
gid://shopify/MediaImage/42534044631340,"30L heavy-stitch canvas gold panning backpack rucksack for camping and prospecting (view 3)."
gid://shopify/MediaImage/42534049448236,"30L heavy-stitch canvas gold panning backpack rucksack for camping and prospecting (view 4)."
gid://shopify/MediaImage/42534048399660,"30L heavy-stitch canvas gold panning backpack rucksack for camping and prospecting (view 5)."
gid://shopify/MediaImage/42500190372140,"30L heavy-stitch canvas gold panning backpack rucksack for camping and prospecting (view 6)."
gid://shopify/MediaImage/42500190339372,"30L heavy-stitch canvas gold panning backpack rucksack for camping and prospecting (view 7)."
gid://shopify/MediaImage/42534047023404,"30L heavy-stitch canvas gold panning backpack rucksack for camping and prospecting (view 8)."
gid://shopify/MediaImage/43544187896108,"19-piece gold panning kit with classifier screens, gold pans, and a rock pick."
gid://shopify/MediaImage/43722079502636,"Miners moss sluice box matting for fine gold recovery (view 1)."
gid://shopify/MediaImage/43722080289068,"Miners moss sluice box matting for fine gold recovery (view 2)."
