aspect,gap_count,category,action,candidate_column
"California Prop 65 Warning",234,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",prop65_warn_type
"Manufacturer Warranty",78,supplier_spec,"LEAVE OUT (warranty not in Usurper / supplier-only)",
"Item Diameter",43,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Personalization Instructions",43,personalization,"LEAVE OUT (conditional on Personalize=Yes; we default No)",
"Item Weight",26,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",weight
"Item Depth",25,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Theme,20,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",theme|theme_amazon|theme_walmart|themevalue_walmart|toy_theme_amazon|variation_theme_amazon
"Handle Material",20,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",handle_material_ebay|handle_material_amazon
Pattern,17,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",pattern|pattern_name_amazon|pattern_walmart|patternvalue_walmart|camo_pattern
Voltage,17,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",voltage_ebay|voltage_amazon
"Mounting Type",16,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",mounting_type_amazon
"Number in Pack",16,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",number_of_pieces|number_of_items_amazon|number_of_pieces_amazon|numberofpieces_walmart|piece_count_walmart
"Year Manufactured",16,candidate_export,"CHECK USURPER PICKER for a matching column",
"Product Line",15,candidate_export,"CHECK USURPER PICKER for a matching column","product_line / product_line_amazon"
"Care Instructions",12,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",care_instructions_amazon|fabriccareinstruction_walmart
"Character Family",11,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",character_ebay|character|character_amazon|character_walmart|charactervalue_walmart
Accents,10,candidate_export,"CHECK USURPER PICKER for a matching column",
Character,10,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",character_ebay|character|character_amazon|character_walmart|charactervalue_walmart
"Expiration Date",10,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Blade Length",10,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",blade_length_ebay
Capacity,10,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",capacity|capacity_amazon|capacity_walmart
"Country of Origin",9,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",country_of_origin
"EPA Registration Number",9,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Suitable For",9,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",suitable_for|recommendeduse_walmart
"Labels & Certifications",8,candidate_export,"CHECK USURPER PICKER for a matching column",
"Blade Material",8,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",blade_material_ebay|blade_material_type_amazon
Features,8,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",features_ebay|special_features_amazon|material_features_amazon
"IP Rating",8,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Style,7,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",style_ebay|style|style_amazon|style_name_amazon|style_keywords_amazon
Season,7,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",season
"Seller Warranty",7,supplier_spec,"LEAVE OUT (warranty not in Usurper / supplier-only)",
"Hair Type",6,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",hair_type_amazon
"Making Method",6,candidate_export,"CHECK USURPER PICKER for a matching column",
"Compatible With",6,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",compatible_devices_amazon
Event,6,candidate_export,"CHECK USURPER PICKER for a matching column",
"Event Type",6,candidate_export,"CHECK USURPER PICKER for a matching column",
"Frame Material",6,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",frame_material|frame_material_type_amazon
"Handle/Strap Material",6,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",handle_material_ebay|handle_material_amazon
"Number of Dividers",6,candidate_export,"CHECK USURPER PICKER for a matching column",
"Number of Pockets",6,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",number_of_pockets_amazon
"Pocket Type",6,candidate_export,"CHECK USURPER PICKER for a matching column",
Position,6,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",auto_part_position_amazon|placement_on_vehicle
"Strap Length",6,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Team,6,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",team_name_amazon|sportsglobalsportsteam_newegg
"Trim Material",6,candidate_export,"CHECK USURPER PICKER for a matching column",
"Blade Hardness",6,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Closed Length",5,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Wood Tone",5,candidate_export,"CHECK USURPER PICKER for a matching column",
"Tensile Strength",5,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Power,5,candidate_export,"CHECK USURPER PICKER for a matching column",
