query,clicks,impr,actual_ctr,expected_ctr,pos,opportunity_clicks
black sand separation,0,1097,0.00%,24.60%,1.3,270
best gold panning kit with sluice box,0,9612,0.00%,2.69%,9.02,259
best gold panning kit for starting out,0,9029,0.00%,1.55%,12.23,140
natural citronella mosquito repellent bracelet wrist band,0,491,0.00%,28.50%,1.0,140
17pc complete backpack sluice box panning kit,0,318,0.00%,28.50%,1.0,91
gold panning kit,38,7309,0.52%,1.72%,11.38,88
hook axe,0,237,0.00%,28.50%,1.0,68
kids survival outdoor camping multi tool whistle compass led flashlight,0,191,0.00%,28.50%,1.0,54
mining hammer,2,529,0.38%,10.28%,3.08,52
5lb navy blue wool camping survival gear blanket,0,172,0.00%,28.50%,1.0,49
gold prospecting equipment classifier screen & bucket,0,167,0.00%,28.50%,1.0,48
geology kits,0,1848,0.00%,2.56%,9.48,47
"24pc deluxe 50 inch aluminum folding sluice box gold panning kit with 30l 
backpack",1,169,0.59%,28.50%,1.0,47
sluice box,1,3027,0.03%,1.46%,12.69,43
best gold panning kit for starting outdoors,0,2456,0.00%,1.73%,11.33,43
what is rockhounding,7,1341,0.52%,3.61%,7.41,41
5 gallon bucket screen,15,384,3.91%,14.45%,2.21,40
sluice box for gold,2,1526,0.13%,2.61%,9.3,38
traditional 16pc sluice box finishing panning kit,0,122,0.00%,28.50%,1.0,35
bucket screen,5,368,1.36%,10.39%,3.04,33
"4 in 1 hand crank emergency am/fm weather radio flashlight power bank alarm 
siren camping gear",0,105,0.00%,28.50%,1.0,30
best sluice box for recreational gold mining company,0,115,0.00%,25.77%,1.21,30
5 gallon bucket sifter,9,359,2.51%,10.55%,2.99,29
servicing tools for gold prospecting,0,1000,0.00%,2.86%,8.69,29
geology kit,2,587,0.34%,4.85%,5.96,26
geology tips for outdoor enthusiasts,0,477,0.00%,5.23%,5.64,25
prospecting equipment,2,2014,0.10%,1.32%,13.81,25
recurve blade,0,433,0.00%,5.63%,5.31,24
bucket sifter,2,361,0.55%,6.97%,4.46,23
what is rock hounding,2,575,0.35%,4.35%,6.5,23
gold sluice box,2,1340,0.15%,1.86%,10.9,23
gold panning,0,109,0.00%,20.57%,1.61,22
5 gallon bucket classifier,5,230,2.17%,11.50%,2.8,21
best gold panning kit for starting outdoor,0,936,0.00%,1.91%,10.81,18
gold panning tools,1,806,0.12%,2.33%,10.11,18
prospecting shovel,0,565,0.00%,3.07%,8.26,17
gold panning kit with sluice box,5,386,1.30%,5.59%,5.34,17
hammer mining,0,224,0.00%,6.86%,4.52,15
thermal mat,0,632,0.00%,2.42%,9.94,15
gold sifter,0,526,0.00%,2.78%,8.84,15
geology equipment for beginners,0,213,0.00%,6.83%,4.54,15
gold classifier,5,544,0.92%,3.44%,7.65,14
shoulder tool bag,0,564,0.00%,2.43%,9.9,14
rock hounding tools,11,715,1.54%,3.33%,7.81,13
gold panning washington state,19,576,3.30%,5.51%,5.41,13
sluice boxes,0,551,0.00%,2.28%,10.2,13
gold panning permit washington state,3,109,2.75%,14.10%,2.28,12
