item_id,sku,category_id,aspect,current_value,verdict,suggested_value,certainty,status,reason
126487251794,KOL-BARBIE-STAR-EARRINGS-PC316,19172,Year,NEW,suspect,,20,no_suggestion,"'NEW' is not a valid year; should be blank or an actual year"
127239775819,4SN-CINCHBAG-SUPRMAN-2PC-BUN,260988,Character,"Spider-Man, Officially Licensed, Superman",suspect,Superman,95,ok,"Spider-Man is Marvel; this is a DC Comics Superman product"
127239775819,4SN-CINCHBAG-SUPRMAN-2PC-BUN,260988,"Character Family","Superman, Officially Licensed",suspect,Superman,80,ok,"drop 'Officially Licensed'; not part of a character family"
236206659191,MCN-GARVXPCW-BNDL-AMZ,87100,"Insulation Type",Down,suspect,,15,no_suggestion,"product is a fabric care kit, not a sleeping bag; insulation N/A"
236206659191,MCN-GARVXPCW-BNDL-AMZ,87100,Type,"Sleeping Bag",suspect,"Care Kit",70,ok,"this is a Revivex care kit, not a sleeping bag"
236206659191,MCN-GARVXPCW-BNDL-AMZ,87100,"Shell Material",Down,suspect,,15,no_suggestion,"'Down' is not a shell material; product has no shell"
235436886860,SON-AO6ITWBNKFB-6E-BLCK,73522,Year,NEW,suspect,,20,no_suggestion,"'NEW' is not a valid year"
126383530718,SON-DKBSBS-3PC-SML-ASSRTD,116005,Features,"3 Layers of Diamonds, Nickel-Bonded to a",suspect,"3 Layers of Diamonds, Nickel-Bonded",65,ok,"live value is truncated mid-sentence"
364899577155,HWK-TT-LEATHER5PKTTP-BROWN,42362,Type,"Tool Belt",suspect,"Tool Pouch",80,ok,"this is a 5-pocket tool pouch, not a tool belt"
364899577169,TWL-TCSR1200LBBS-PARENT-I,50816,"Country/Region of Manufacture","United States",suspect,,35,no_suggestion,"conflicts with Country of Origin (Japan); verify US vs Japan"
235792850839,LST-KPL-SPACEROCKET-17INCH,1187,Type,"Space Shuttle",suspect,"Space Toy",50,ok,"set is an astronaut/backpack space toy, not specifically a space shuttle"
235480965677,SON-FFKWSAFH6I-2PC-6,73522,Type,Hunting,suspect,Fishing,80,ok,"this is a fishing fillet knife, not a hunting knife"
235480965677,SON-FFKWSAFH6I-2PC-6,73522,Year,NEW,suspect,,20,no_suggestion,"'NEW' is not a valid year"
235480965695,NPT-ANIMALHUNTINGKNIFE-PARENT,73522,Year,NEW,suspect,,20,no_suggestion,"'NEW' is not a valid year"
126488763142,4SN-CINCHBAG-PARENT,260988,Character,"Officially Licensed",suspect,,30,no_suggestion,"'Officially Licensed' is not a character; this parent varies by character"
126488763142,4SN-CINCHBAG-PARENT,260988,"Character Family","Officially Licensed",suspect,,30,no_suggestion,"'Officially Licensed' is not a character family"
365680341386,4SN-SAVBANK-CHARACTER-PARENT,10034,Brand,"Officially Licensed",suspect,,30,no_suggestion,"'Officially Licensed' is not a brand name"
235571605042,NPT-BLKTHROWKNIVES-3PC-A1030-3-B,73522,Features,"HIGH QUALITY CONSTRUCTION – Our knives are made of",suspect,,40,no_suggestion,"truncated marketing copy, not a real feature"
235571605042,NPT-BLKTHROWKNIVES-3PC-A1030-3-B,73522,Year,NEW,suspect,,20,no_suggestion,"'NEW' is not a valid year"
236475895875,UPD-NAILPOL-HK-HK1156GG-BUN,11873,"California Prop 65 Warning","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you",suspect,,85,no_suggestion,"Value is truncated mid-sentence, ending with 'This product can expose you'"
235214767866,MCN-MMESC4OZNCB,29574,Style,"Performance swimwear",suspect,,80,no_suggestion,"'Performance swimwear' is not a relevant style for a neoprene repair cement adhesive"
235483317325,VECTRAN-600LB-CORD-NATRL-PARENT,181413,Material,Plastic,suspect,Vectran,85,ok,"Vectran cord listed as 'Plastic'; the fiber material is Vectran, not plastic"
364851559092,4SN-PINCHBOWL-47332-PARENT,25846,Features,Glass,suspect,"Oven Safe, Microwave Safe",40,ok,"'Glass' is not a feature; it duplicates the Material field"
365242110528,SON-7INFISHINGKNIFE-BLK-PK-FISH-7SH,73522,Type,Hunting,suspect,Fishing,90,ok,"This is a fishing fillet knife, not a hunting knife"
365242110528,SON-7INFISHINGKNIFE-BLK-PK-FISH-7SH,73522,Year,NEW,suspect,,20,no_suggestion,"'NEW' is not a valid year"
365242110528,SON-7INFISHINGKNIFE-BLK-PK-FISH-7SH,73522,Features,"CUT AND CLEAN LIKE A PRO: High quality and",suspect,,85,no_suggestion,"Truncated marketing copy: 'CUT AND CLEAN LIKE A PRO: High quality and'"
366005344632,LST-SPACECINCHSET-3PC-PARENT,261068,"Year Manufactured",2026,suspect,,30,no_suggestion,"value '2026' flagged (note: allowed was null only because list too large)"
236402678858,DOY-ASRT-ZIPPERPOCKETKNIVES-PARENT,48818,Year,2026,suspect,,20,no_suggestion,"'2026' suspicious for a Year aspect on a collectible knife"
363809308977,MCN-TTAPE-HEXPATCH-PARENT,36120,"Mounting Type",Freestanding,suspect,,75,no_suggestion,"'Freestanding' is not a relevant mounting type for hex repair patches; miscategorized"
235396232983,4SN-MOODLIGHT-RECTANGLE-2PK,20702,Features,"Universal Home LED Color Changing Light - 7",suspect,,85,no_suggestion,"Truncated marketing copy: 'Universal Home LED Color Changing Light - 7'"
126493144658,NPT-AONGHW33FNRCBF-LG-BLCK,179791,Style,"Survival Kits",suspect,,60,no_suggestion,"'Survival Kits' is not a relevant style for a grappling hook"
