priority,item_id,title,category_id,category_path,schema_aspects,present,missing_required,missing_recommended,missing_required_names,missing_recommended_names
38,235528772889,"Licensed Kids LED Display Digital Touch Screen Watch Boys Girls Cartoons",31387,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",47,9,0,38,,"Reference Number; Customized; Model; Movement; Dial Color; Band Color; Bezel Color; Case Color; Band Material; Case Material; Water Resistance; With Original Box/Packaging; With Papers; Indices; Case Size; Watch Shape; Band/Strap; Number of Jewels; Dial Pattern; Caseback; Bezel Type; Vintage; Band Width; Lug Width; Theme; With Manual/Booklet; Case Finish; Seller Warranty; With Service Records; Handmade; Manufacturer Warranty; Case Thickness; Escapement Type; Max Wrist Size; Closure; Handedness; Unit Quantity; Unit Type"
36,366005344632,"Kidplokio 3pc Space Toy Bundle Sword Blaster and Superhero Cinch Bag (2 Colors)",261068,"Toys & Hobbies|Action Figures & Accessories|Action Figures",44,8,0,36,,"Franchise; Character; Movie; TV Show; Featured Person/Artist; Scale; Material; Model; Grade; Theme; Sport; Convention/Event; Original/Licensed Reproduction; Vintage; Time Period Manufactured; Professional Grader; Certification Number; MPN; Series; Animal Species; Features; Vehicle Type; Animation Studio; Item Height; Signed By; Signed; Personalize; Transformer Faction; Item Length; Item Width; Autograph Authentication; Autograph Authentication Number; Autograph Format; Personalization Instructions; Unit Quantity; Unit Type"
35,127389838909,"Marvel Ultimate Spider-Man Titan Hero Series Action Figure 12 Inch (2 Styles)",261068,"Toys & Hobbies|Action Figures & Accessories|Action Figures",44,9,0,35,,"Featured Person/Artist; Scale; Material; Model; Grade; Sport; Convention/Event; Original/Licensed Reproduction; Vintage; Time Period Manufactured; Professional Grader; Certification Number; MPN; Series; Year Manufactured; Color; Animal Species; Items Included; Features; Vehicle Type; Animation Studio; Country of Origin; Signed By; Signed; Personalize; Age Level; Transformer Faction; Item Length; Item Width; Autograph Authentication; Autograph Authentication Number; Autograph Format; Personalization Instructions; Unit Quantity; Unit Type"
34,127488196314,"Kidplokio Galaxy Space Sword Interactive Toy Real Lights and Sounds (2 Colors)",261068,"Toys & Hobbies|Action Figures & Accessories|Action Figures",44,10,0,34,,"Franchise; Movie; TV Show; Featured Person/Artist; Scale; Model; Grade; Sport; Convention/Event; Original/Licensed Reproduction; Vintage; Time Period Manufactured; Professional Grader; Certification Number; MPN; Series; Animal Species; Vehicle Type; Animation Studio; Item Height; Signed By; Signed; Personalize; Age Level; Transformer Faction; Item Length; Item Width; Autograph Authentication; Autograph Authentication Number; Autograph Format; California Prop 65 Warning; Personalization Instructions; Unit Quantity; Unit Type"
34,236460252577,"Kidplokio 2pc Space Gift Bundle Toy Sword and Superhero Cinch Bag  (2 Colors)",261068,"Toys & Hobbies|Action Figures & Accessories|Action Figures",44,10,0,34,,"Franchise; Movie; TV Show; Featured Person/Artist; Scale; Model; Grade; Sport; Convention/Event; Original/Licensed Reproduction; Vintage; Time Period Manufactured; Professional Grader; Certification Number; MPN; Series; Animal Species; Vehicle Type; Animation Studio; Item Height; Signed By; Signed; Personalize; Age Level; Transformer Faction; Item Length; Item Width; Autograph Authentication; Autograph Authentication Number; Autograph Format; California Prop 65 Warning; Personalization Instructions; Unit Quantity; Unit Type"
34,365879832353,"Universal Rechargeable Phone Stand Table Lamp Touch Switch 120 Lumen",112581,"Home & Garden|Lamps, Lighting & Ceiling Fans|Lamps",50,16,0,34,,"Room; Style; Sensor Type; Number of Settings; Lighting Technology; Power Source; Shade Shape; Character Family; Theme; Character; Pattern; Energy Star; Department; Control Style; EC Range; Item Diameter; Amperage; Personalize; Voltage; Output Voltage; Labels & Certifications; Power Consumption; Color Temperature; IP Rating; Light Color; Lumens; Bulb Life Hours; Bulb Shape Code; Manufacturer Warranty; Product Line; EPREL Registration Number; Personalization Instructions; Unit Quantity; Unit Type"
32,127389857830,"Universal Home LED 7 Color Changing Mood Light Ambiance Home Decor White Light",20702,"Home & Garden|Lamps, Lighting & Ceiling Fans|Night Lights",48,16,0,32,,"Sensor Type; Power Source; Lighting Technology; Theme; Character Family; Room; Light Color; Character; Department; Installation Area; Energy Star; LED String/Strip Type; EC Range; Mounting; Occasion; Style; Voltage; Personalize; Output Voltage; Amperage; Labels & Certifications; Light Direction; IP Rating; Manufacturer Warranty; Number of Lights; Bulb Life Hours; LED Chip Code; Lumens; EPREL Registration Number; Personalization Instructions; Unit Quantity; Unit Type"
32,235396232983,"2pk Home LED 7 Color Changing Mood Lamp Ambiance Light Home Decor",20702,"Home & Garden|Lamps, Lighting & Ceiling Fans|Night Lights",48,16,0,32,,"Sensor Type; Power Source; Lighting Technology; Theme; Character Family; Room; Light Color; Character; Department; Installation Area; Energy Star; LED String/Strip Type; EC Range; Mounting; Occasion; Style; Voltage; Personalize; Output Voltage; Amperage; Labels & Certifications; Light Direction; IP Rating; Manufacturer Warranty; Number of Lights; Bulb Life Hours; LED Chip Code; Lumens; EPREL Registration Number; Personalization Instructions; Unit Quantity; Unit Type"
32,365879832410,"Universal Hanging Cinema String Light Boxes With 90 Characters - 20 Light Boxes",183394,"Home & Garden|Yard, Garden & Outdoor Living|Outdoor Lighting|String Lights",46,14,0,32,,"Style; Installation Area; Power Source; Control Style; LED String/Strip Type; Sensor Type; Lighting Technology; Occasion; Number of Lights; Light Color; Cord Color; Number of Settings; Character; Theme; Amperage; Smart Home Protocol; Voltage; Power Consumption; Smart Home Compatibility; Character Family; Mounting; Assembly Required; Bulb Life Hours; Color Temperature; IP Rating; LED Chip Code; Labels & Certifications; Lumens; Manufacturer Warranty; Required Tools; Unit Quantity; Unit Type"
31,236344962462,"ASR Outdoor Comprehensive Wilderness Travel Medicine Emergency Guide",261186,"Books & Magazines|Books",35,4,0,31,,"Topic; Publisher; Format; Genre; Publication Year; Book Series; Original Language; Features; Type; Edition; Narrative Type; Signed; Intended Audience; Vintage; Ex Libris; Inscribed; Personalize; Personalized; Signed By; Era; Illustrator; Literary Movement; California Prop 65 Warning; Item Height; Item Length; Item Weight; Item Width; Number of Pages; Personalization Instructions; Unit Quantity; Unit Type"
30,236344962456,"Star Wars Baby Yoda 2 Pack Non Woven Tote Bag Kids Travel Bag Ages 3 and Up",261068,"Toys & Hobbies|Action Figures & Accessories|Action Figures",44,14,0,30,,"Franchise; Movie; TV Show; Featured Person/Artist; Scale; Grade; Theme; Convention/Event; Original/Licensed Reproduction; Vintage; Time Period Manufactured; Professional Grader; Certification Number; Series; Color; Animal Species; Items Included; Vehicle Type; Animation Studio; Signed By; Signed; Personalize; Age Level; Transformer Faction; Autograph Authentication; Autograph Authentication Number; Autograph Format; Personalization Instructions; Unit Quantity; Unit Type"
29,127389838928,"Beille 6 Side Stainless Steel Grater Top Handle Zester Slicer 7.75 Inch - Pink",11662,"Collectibles|Kitchen & Home|Kitchen Tools & Gadgets|Graters & Zesters",41,12,0,29,,"Set Includes; Type; Food Compatibility; Number of Items in Set; Components Included; Original/Reproduction; Time Period Manufactured; Shape; Number of Holes; Number in Pack; Style; Theme; Handle Material; Franchise; Antique; Occasion; Character; Pattern; Handmade; Features; Item Diameter; Making Method; Capacity; Department; Item Depth; Manufacturer Warranty; Wood Tone; Unit Quantity; Unit Type"
