item_id,category_id,aspect,importance,mode,cardinality,allowed_values,values_sample,title
256508244327,46413,Type,required,FREE_TEXT,SINGLE,34,"Arc Welder | Butane Torch | Desoldering Pump | Electric Soldering Iron Kit | Electric Soldering Pump | Electrode","Wood Burning Wood Working and Assorted Soldering Tips Stencil Set Crafting 28pc"
256525915552,261068,"Featured Person/Artist",recommended,FREE_TEXT,MULTI,10527,"101 Strings Orchestra | 10cc | 3 Doors Down | 50 Cent | 5ban Graphics | A.A. Milne","Disney Pixar Incredibles 2 9 pc Stationary Set UPD-INCRED-2-STATIONERY-9PC"
256525915552,261068,Character,recommended,FREE_TEXT,MULTI,4077,"22 | Aang | Aayla Secura | Abe Sapien | Abin Sur | Abominus","Disney Pixar Incredibles 2 9 pc Stationary Set UPD-INCRED-2-STATIONERY-9PC"
256525915552,261068,Franchise,recommended,FREE_TEXT,SINGLE,1095,".Hack// | 20th Century Boys | AcceleRacers | Ace Attorney | A Certain Scientific Railgun S | A Christmas Story","Disney Pixar Incredibles 2 9 pc Stationary Set UPD-INCRED-2-STATIONERY-9PC"
256510047585,112581,Character,recommended,FREE_TEXT,MULTI,713,"Abbey Bominable | Abin Sur | Acer | Adam Strange | Airy Ardet | Akane Isshiki","Universal Rechargeable Phone Stand Table Lamp Touch Switch 120 Lumen"
256525915552,261068,"Signed By",recommended,FREE_TEXT,MULTI,605,"Adam Driver | Adam Levine | Adam West | Adrienne C. Moore | Adrienne Moore | Ahmed Best","Disney Pixar Incredibles 2 9 pc Stationary Set UPD-INCRED-2-STATIONERY-9PC"
256510047585,112581,"Character Family",recommended,FREE_TEXT,SINGLE,493,".Hack// | 101 Dalmatians | A Certain Scientific Railgun S | Action Man | Akira | Aladdin","Universal Rechargeable Phone Stand Table Lamp Touch Switch 120 Lumen"
256525915552,261068,Movie,recommended,FREE_TEXT,SINGLE,492,"101 Dalmatians | 102 Dalmatians | 20,000 Leagues Under the Sea | 2001: A Space Odyssey | 21 Jump Street | 300","Disney Pixar Incredibles 2 9 pc Stationary Set UPD-INCRED-2-STATIONERY-9PC"
256525915552,261068,"TV Show",recommended,FREE_TEXT,SINGLE,356,"101 Dalmatians | A Certain Scientific Railgun S | Adventure Time | Aladdin | Alf | Alias","Disney Pixar Incredibles 2 9 pc Stationary Set UPD-INCRED-2-STATIONERY-9PC"
256508244309,40587,Theme,recommended,FREE_TEXT,MULTI,275,"1950s | 1980s | Anatomy | Angels & Cherubs | Animals | Anime","Microfiber Ultra Absorbent Quick Dry Gym Towel Outdoor - Navy Blue XL"
256380454290,52373,Character,recommended,FREE_TEXT,MULTI,271,"Aladdin | Alice in Wonderland | Andrea | Angel | Aquaman | Arthur","GEAR AID Ni Glo 2"" Glowing Keychain for Camping, SCUBA, Fishing, Multi Colors"
256470618737,52373,Character,recommended,FREE_TEXT,MULTI,271,"Aladdin | Alice in Wonderland | Andrea | Angel | Aquaman | Arthur","Zak Tool ZT55-C Tactical Key Ring Holder Connector Clip for Law Enforcement"
256508244362,52373,Character,recommended,FREE_TEXT,MULTI,271,"Aladdin | Alice in Wonderland | Andrea | Angel | Aquaman | Arthur","ASR Outdoor Brass Body Nickel Plated Pull Apart Key Ring Travel Accessory"
256508244410,52373,Character,recommended,FREE_TEXT,MULTI,271,"Aladdin | Alice in Wonderland | Andrea | Angel | Aquaman | Arthur","Jumbo 6.5"" XL Carabiner Key Chain  - Purple"
256526374819,45237,Character,recommended,FREE_TEXT,MULTI,271,"Aladdin | Alice in Wonderland | Andrea | Angel | Aquaman | Arthur","Jumbo 6.5 Inch Carabiner Key Chain with Grip - 2 Pack Black and Silver"
254735978393,106124,"Country of Origin",recommended,SELECTION_ONLY,SINGLE,244,"Afghanistan | Albania | Algeria | Andorra | Angola | Anguilla","GEAR AID Aquaseal SR Shoe and Boot Repair Adhesive, Clear Glue, 1 oz"
255033244446,116005,"Country of Origin",recommended,SELECTION_ONLY,SINGLE,244,"Afghanistan | Albania | Algeria | Andorra | Angola | Anguilla","Chefs Kitchen Home Knife Sharpening T13 Steel Rod Industrial Grade - 12 inch"
255343573163,15913,"Country of Origin",recommended,SELECTION_ONLY,SINGLE,244,"Afghanistan | Albania | Algeria | Andorra | Angola | Anguilla","SE GP-SB35-MAT Prospector's Choice 10""x27"" Trimmable Riffled Sluice Box Matting"
256446183433,163824,"Country of Origin",recommended,SELECTION_ONLY,SINGLE,244,"Afghanistan | Albania | Algeria | Andorra | Angola | Anguilla","SE GP-SB32 Prospector's Choice Green Lightweight Sluice Box, 30"""
256468957823,181413,"Country of Origin",recommended,SELECTION_ONLY,SINGLE,244,"Afghanistan | Albania | Algeria | Andorra | Angola | Anguilla","ASR Outdoor Survival Paracord Rope 100ft (10 Colors)"
256494150722,29574,"Country of Origin",recommended,SELECTION_ONLY,SINGLE,244,"Afghanistan | Albania | Algeria | Andorra | Angola | Anguilla","GEAR AID Wetsuit Cleaner and Conditioner for Neoprene, Concentrated, Odor Kit"
256508244345,181076,"Country of Origin",recommended,SELECTION_ONLY,SINGLE,244,"Afghanistan | Albania | Algeria | Andorra | Angola | Anguilla","Universal Utility Cable Zip Tie Cable White 4MM 100pk 12in"
256508701414,15913,"Country of Origin",recommended,SELECTION_ONLY,SINGLE,244,"Afghanistan | Albania | Algeria | Andorra | Angola | Anguilla","SE GP-MT415-1GR 12” x 36” Grey Miner’s Moss (Sluice Box Matting)"
256509144716,20641,"Country of Origin",recommended,SELECTION_ONLY,SINGLE,244,"Afghanistan | Albania | Algeria | Andorra | Angola | Anguilla","Universal Handy Helpers Fruit and Vegetable Peeler Dishwasher Safe (2 Colors)"
256510041680,27362,"Country of Origin",recommended,SELECTION_ONLY,SINGLE,244,"Afghanistan | Albania | Algeria | Andorra | Angola | Anguilla","GEAR AID Revivex Suede, Nubuck and Fabric Boot Care Kit with Protector Spray"
256510047596,8504,"Country of Origin",recommended,SELECTION_ONLY,SINGLE,244,"Afghanistan | Albania | Algeria | Andorra | Angola | Anguilla","GEAR AID Care Kit with Revivex Pro Cleaner and Durable Water Repellent Spray"
256510047616,8504,"Country of Origin",recommended,SELECTION_ONLY,SINGLE,244,"Afghanistan | Albania | Algeria | Andorra | Angola | Anguilla","GEAR AID Care Kit with Pro Cleaner,Water Repellent Spray and Mini Patches"
256510047661,8504,"Country of Origin",recommended,SELECTION_ONLY,SINGLE,244,"Afghanistan | Albania | Algeria | Andorra | Angola | Anguilla","GEAR AID Care Kit with Pro Cleaner, Wash-In Water Repellent and Mini Patches"
256510047925,73522,"Country of Origin",recommended,SELECTION_ONLY,SINGLE,244,"Afghanistan | Albania | Algeria | Andorra | Angola | Anguilla","Recurved Blade Machete with Zigzag Serrated Spine and Paracord Handle 15"""
