"handle","gid","title","products_count","action","old_seo_title","new_seo_title","old_seo","old_len","new_seo","new_len"
"gold-panning-kits","gid://shopify/Collection/450328265004","Gold Panning Kits","26","trim","ASR Outdoor Gold Panning Kits","Gold Panning Kits for All Skill Levels | ASR Outdoor","Best selection of high quality gold panning kits, curated by ASR Outdoor. Novice hobbyist or experienced prospector, we stock gold panning kits for all skill levels.","165","High-quality gold panning kits curated by ASR Outdoor. From novice hobbyist to experienced prospector, we stock kits for every skill level.","139"
"sifters-or-classifiers","gid://shopify/Collection/453118853420","Classifier Screens","8","trim","ASR Outdoor: Gold Pans + Classifier Screens","Gold Classifier Screens & Sifters | ASR Outdoor","Essential gold prospecting equipment for classification work, gold panning and finishing work, find a great selection of gold pans and classifier screens here in multiple finishes, colors and sizes.","198","Gold classifier screens for prospecting, panning and finishing work, in multiple mesh sizes, colors and finishes. Classification gear by ASR Outdoor.","149"
"paydirt-kits","gid://shopify/Collection/454185582892","Paydirt Gold Panning Kits","9","trim","ASR Outdoor Paydirt Gold Panning Kits","Paydirt Gold Panning Kits | ASR Outdoor x Bobby Bo","Beginner or expert, there is always room to improve gold panning techniques. Choose from one of our many ASR Outdoor X Bobby Bo collaboration pay dirt gold panning kits and enhance your gold panning skills from home.","216","ASR Outdoor x Bobby Bo collaboration paydirt gold panning kits. Practice and improve your gold panning skills from home, for beginners and experts.","147"
"gold-panning-accessories","gid://shopify/Collection/454185877804","Gold Prospecting Equipment","36","trim","ASR Outdoor Gold Prospecting Equipment","Gold Prospecting Equipment & Accessories | ASR Outdoor","Look no further than ASR Outdoor for all gold panning accessories and gold prospecting equipment needed for extraction, recovery, cleaning, examination and storage of found gold.","178","ASR Outdoor gold prospecting equipment and panning accessories for the extraction, recovery, cleaning, examination and storage of found gold.","141"
"sluice-boxes","gid://shopify/Collection/454185943340","Sluice Boxes + Sluice Box Matting","8","trim","ASR Outdoor Sluice Boxes + Sluice Box Matting","Sluice Boxes & Sluice Box Matting | ASR Outdoor","When moving through large amounts of pay dirt, a sluice box that successfully captures your hard earned classification work is a must-have to include with your gold prospecting equipment.","187","Sluice boxes and matting that capture gold when working large amounts of paydirt. A must-have addition to your ASR Outdoor gold prospecting equipment.","150"
"gold-prospecting-bucket-kits","gid://shopify/Collection/454714229036","5 Gallon Bucket Gold Panning Kits","9","trim","ASR Outdoor 3.5 and 5 Gallon Bucket Gold Panning Kits","5 Gallon Bucket Gold Panning Kits | ASR Outdoor","ASR Outdoors comprehensive 3.5 and 5 gallon bucket gold panning kits feature a complete set of gold prospecting equipment, designed for start to finish raw material processing.","176","ASR Outdoor 3.5 and 5 gallon bucket gold panning kits: complete prospecting equipment sets for start-to-finish raw material processing.","135"
"metal-detecting-equipment","gid://shopify/Collection/471358341420","Metal Detecting Equipment","16","trim","","Metal Detecting Equipment & Accessories | ASR Outdoor","Try your hand at this popular hobby: metal detecting! From tool bags and shovels, to coin probes and kits, ASR Outdoor has your metal detector equipment and accessory needs covered!","181","Metal detecting gear from ASR Outdoor: tool bags, shovels, coin probes and complete kits. Everything you need to start this popular treasure hunt.","146"
"camping-gear","gid://shopify/Collection/478232477996","Camping Gear","82","new","","Camping Gear & Outdoor Essentials | ASR Outdoor","","0","ASR Outdoor camping gear: compact cooking tools, lightweight shelter, fire starters, durable storage and multi-use outdoor essentials for every trip.","149"
"survival-gear","gid://shopify/Collection/478232543532","Survival Gear","54","new","","Survival Gear & Emergency Equipment | ASR Outdoor","","0","ASR Outdoor survival gear: fire starters, paracord, emergency blankets and shelters, signaling tools and multitools for any adventure or emergency.","147"
"new-arrivals","gid://shopify/Collection/490832134444","New Arrivals","47","new","","New Arrivals: Outdoor & Prospecting Gear | ASR Outdoor","","0","The latest additions to the ASR Outdoor lineup: new gold prospecting, rock hounding, survival and camping gear. Shop our newest outdoor arrivals.","145"
"outdoor-knives","gid://shopify/Collection/483314893100","Outdoor Knives","19","new","","Outdoor Knives: Fixed, Folding & Survival | ASR Outdoor","","0","ASR Outdoor knives: fixed-blade, folding, survival and specialty blades for camping, hiking, hunting and everyday carry. Reliable edges built to last.","150"
"gold-pans","gid://shopify/Collection/478278451500","Gold Pans","9","new","","Gold Pans: Single, Dual & Triple Riffle | ASR Outdoor","","0","Durable gold pans from ASR Outdoor in single, dual and triple riffle designs and multiple sizes and colors, for efficient gold separation and recovery.","151"
"gemstone-paydirt","gid://shopify/Collection/483668033836","Gemstone Paydirt","3","new","","Gemstone Paydirt Kits & Rough Gemstones | ASR Outdoor","","0","ASR Outdoor gemstone paydirt kits packed with rough gemstones, rocks and minerals to sift and sort. A hands-on find for hobbyists, students and collectors.","155"
"paralace","gid://shopify/Collection/493488931116","ParaLace","2","new","","ParaLace 550 Paracord Shoelaces & Belts | ASR Outdoor","","0","ParaLace 550 paracord shoelaces and belts: rugged hiking boot laces that double as survival gear, in multiple colors and lengths. Built to be used.","147"
"geodes","gid://shopify/Collection/490268426540","Geodes","1","new","","Break Your Own Geode Kits | ASR Outdoor","","0","Break-your-own geode kits from ASR Outdoor. Each uncracked geode reveals a unique crystal interior, a fun, educational find for rockhounds and collectors.","154"
