numeric_id,title,old_product_type,new_product_type,old_seo_description,new_seo_description,new_desc_chars,old_image_alt,new_image_alt,image_alt_changed,weak_source,status
8406498541868,"24pc Deluxe 50 Inch Aluminum Folding Sluice Box Gold Panning Kit with 30L Backpack","Gold Panning","Gold Panning","Backpack Sluice Box Gold Prospecting Kit","Complete 24-piece gold panning kit with a rust-free 50-inch folding aluminum sluice box, gold pans, vials, and tools in a 30L canvas backpack.",142,"deluxe expert gold panning kit with 50in sluice box","24-piece deluxe gold panning kit with a 50-inch folding aluminum sluice box, gold pans, and a 30L canvas backpack.",1,0,ok
8461244170540,"20oz Rock Pick Mining Hammer, 11-inch Pointed Tip Gold Prospectors Tool","Gold Panning","Gold Panning","20oz rock pick hammer 20oz geology mining tool rock hounding fossil digging gold prospecting masonry brick hammer construction contractor german nail stump game octoberfest hammerschlagen","Forged single-piece steel rock pick hammer with a 20oz head, 11.5-inch length, and anti-shock grip. Pointed pick and square face for prospecting.",145,"A silver-colored dual sided geology rock pick hammer with a pointed tip and rubberized grip handle, isolated on a white background.","20oz rock pick mining hammer with an 11.5-inch pointed tip and rubberized anti-shock grip for gold prospecting.",1,0,ok
8461244367148,"Multi Riffle Plastic Sluice Box Gold Prospecting Equipment, Green","Gold Panning","Gold Panning","Portable Backpack Gold Panning Sluice Box","Lightweight 30-inch ABS plastic gold sluice box with four molded riffle designs and a 10-inch channel. Rust-proof, portable, high-yield recovery.",145,"A 32-inch four riffle plastic sluice box for gold prospecting, colored in green with a black shoulder strap.","Green plastic multi-riffle gold sluice box with a flared mouth for gold prospecting.",1,0,ok
8461244793132,"7pc Beginner Sluice Box Gold Panning Kit with Gold Prospecting Equipment (Aluminum or Plastic)","Gold Panning","Gold Panning","ASR Outdoor Sluice Box Gold Prospecting Kit Pan Vial Snifter Trowel Tweezer 7pc","Beginner gold panning kit with a riffle sluice box, 10-inch gold pan, snuffer bottle, vial, trowel, loupe, and tweezers. Choose aluminum or plastic.",148,"7 piece gold panning sluice box kit with 50 inch sluice box","7-piece beginner gold panning sluice box kit with a gold pan, snuffer bottle, vials, and prospecting tools.",1,0,ok
8491279384876,"ASR Outdoor X Pan for Gold with Bobby Bo 3oz Beginner Paydirt Gold Panning Kit, 6pc","Gold Panning","Gold Panning",,"Beginner 6-piece gold panning kit with 3oz of Bobby Bo paydirt, a 10-inch dual riffle pan, snuffer bottle, and glass vials. Practice prospecting at home.",153,"beginner paydirt for gold panning kit with glass vials, snuffer bottle","6-piece beginner gold panning kit with a dual riffle pan, snuffer bottle, vials, and 3oz of Bobby Bo paydirt.",1,0,ok
8491328143660,"24pc Gold Panning Kit with 5 Gallon Bucket and 10lb Pan for Gold with Bobby Bo Paydirt (2 Colors)","Gold Panning","Gold Panning",,"24-piece gold panning kit with 10lb Bobby Bo paydirt, a 5-gallon bucket, three dual-riffle gold pans, classifier screens, and full recovery tools.",146,"24pc gold panning kit with 5 gallon bucket and 10lbs of gold paydirt from bobbybo","24-piece gold panning kit with a 5-gallon bucket, gold pans, classifier screens, and 10lb of Bobby Bo paydirt.",1,0,ok
8491384897836,"7pc Kids Starter Gold Panning Kit Beginner Prospecting Equipment with Paydirt (3 Colors)","Gold Panning","Gold Panning",,"7-piece kids and beginners gold panning kit with a dual riffle pan, classifier, vial, snifter, magnifier, and 3oz of Pacific Northwest Bobby Bo paydirt.",152,"beginner gold paydirt kit for kids beginners 7 piece","7-piece kids gold panning starter kit with a dual riffle pan, classifier, magnifier, and Bobby Bo paydirt.",1,0,ok
8491401380140,"ASR Outdoor Gold Panning Paydirt 1LB Advanced Bag Gold Prospecting Concentrate Flakes (Green or Black)","Gold Panning","Gold Panning",,"Advance your gold panning at home with this 1lb bag of unclassified Bobby Bo paydirt: a mix of small and large gold plus black sand for tougher practice.",153,"gold panning paydrt 1lb for advanced gold panners more heavy material to make finding gold more challenging","1lb bag of unclassified Bobby Bo advanced gold panning paydirt concentrate.",1,0,ok
8493498204460,"ASR Outdoor 6pc Gold Panning Kit with 1lbs Bobby Bo Intermediate Unclassified Paydirt Bag (Green or Black)","Gold Panning","Gold Panning",,"Intermediate 6-piece gold panning kit with 1lb of unclassified Bobby Bo paydirt and a finishing pan. Build your panning skills at home in green or black.",153,"7pc gold panning with 1lb of practice gold paydirt meant for beginners","6-piece gold panning kit with a 1lb bag of unclassified Bobby Bo intermediate paydirt and a finishing pan.",1,0,ok
8493515178284,"ASR Outdoor Beginner Gold Panning Kit with 1LB Guaranteed Gold Paydirt (3 Colors), 6pc","Gold Panning","Gold Panning",,"Beginner 6-piece gold panning kit with 1lb of pre-classified Bobby Bo paydirt. Coarse, easy-to-spot gold helps new prospectors learn to pan at home.",148,"guaranteed gold paydirt kit with tools","6-piece beginner gold panning kit with a 1lb bag of pre-classified Bobby Bo gold paydirt.",1,0,ok
