aspect,gap_count,category,action,candidate_column
"Manufacturer Warranty",236,supplier_spec,"LEAVE OUT (warranty not in Usurper / supplier-only)",
"Personalization Instructions",210,personalization,"LEAVE OUT (conditional on Personalize=Yes; we default No)",
"California Prop 65 Warning",121,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",prop65_warn_type
"Item Diameter",117,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Model,104,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",model|model_name_amazon|modelnumber_walmart|variation_model
Theme,82,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",theme|theme_amazon|theme_walmart|themevalue_walmart|toy_theme_amazon|variation_theme_amazon
"Product Line",82,candidate_export,"CHECK USURPER PICKER for a matching column","product_line / product_line_amazon"
Features,74,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",features_ebay|special_features_amazon|material_features_amazon
Pattern,73,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",pattern|pattern_name_amazon|pattern_walmart|patternvalue_walmart|camo_pattern
Character,64,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",character_ebay|character|character_amazon|character_walmart|charactervalue_walmart
"Character Family",63,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",character_ebay|character|character_amazon|character_walmart|charactervalue_walmart
MPN,63,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",mpn_ebay|mpn|mpn_amazon|mpn_walmart|manufacturer_part_number|other_part_number
"Item Depth",59,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Voltage,51,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",voltage_ebay|voltage_amazon
Accents,43,candidate_export,"CHECK USURPER PICKER for a matching column",
"Seller Warranty",42,supplier_spec,"LEAVE OUT (warranty not in Usurper / supplier-only)",
"Expiration Date",36,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Handle Material",36,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",handle_material_ebay|handle_material_amazon
Style,35,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",style_ebay|style|style_amazon|style_name_amazon|style_keywords_amazon
"Care Instructions",34,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",care_instructions_amazon|fabriccareinstruction_walmart
Shape,33,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",shape|item_shape_amazon|shape_walmart
"Blade Length",31,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",blade_length_ebay
"IP Rating",30,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Series,30,candidate_export,"CHECK USURPER PICKER for a matching column","series / series_amazon"
"Making Method",28,candidate_export,"CHECK USURPER PICKER for a matching column",
"Time Period Manufactured",28,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
Scale,28,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",scale_name_amazon
"Signed By",27,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Number of Items in Set",27,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",number_of_pieces|number_of_items_amazon|number_of_pieces_amazon|numberofpieces_walmart|piece_count_walmart
"Operating Time",26,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Number of Lights",25,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",number_of_light_sources_amazon
"Operating Range",25,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Number of Batteries",24,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Color,24,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",color|color_amazon|color_name_amazon|color_walmart|colorvalue_walmart
"Vehicle Make",24,candidate_export,"CHECK USURPER PICKER for a matching column","vehicle_make / make_amazon"
"Handle/Strap Material",23,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",handle_material_ebay|handle_material_amazon
Capacity,23,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",capacity|capacity_amazon|capacity_walmart
"EPA Registration Number",23,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Battery Technology",22,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",battery_technology_ebay
"Item Weight",21,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",weight
Occasion,20,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",occasion|occasion_type_amazon|occasion_walmart
"Number of LEDs",19,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Franchise,18,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",character_ebay|character|character_walmart
Ingredients,18,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",ingredients_amazon
"Power Source",18,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",power_source|power_source_type_amazon
"Set Includes",18,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",package_includes
"Number of Pieces",17,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",number_of_pieces|number_of_items_amazon|number_of_pieces_amazon|numberofpieces_walmart
"Item Height",17,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",height
"Frame Material",17,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",frame_material|frame_material_type_amazon
"Featured Person/Artist",16,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
Volume,16,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Bag Depth",16,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Bag Width",16,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Lining Material",16,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",fill_material_type_amazon|outer_material_type_amazon
Department,16,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",department_ebay
Season,16,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",season
"Rope Diameter",15,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Number in Pack",15,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",number_of_pieces|number_of_items_amazon|number_of_pieces_amazon|numberofpieces_walmart|piece_count_walmart
"Connection Type",14,candidate_export,"CHECK USURPER PICKER for a matching column",connection_type_amazon
Scent,14,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",fragrance
"Autograph Authentication",14,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Autograph Authentication Number",14,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Autograph Format",14,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
Room,14,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",room|recommendedroom_walmart
"Mounting Type",13,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",mounting_type_amazon
Lumens,13,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Gauge/Caliber,13,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Item Width",13,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",width
Tang,12,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",tang_ebay
"Bag Height",12,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Artist,11,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Closed Length",11,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Period After Opening (PAO)",11,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Sun Protection Factor (SPF)",11,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Item Length",11,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",length
"Labels & Certifications",11,candidate_export,"CHECK USURPER PICKER for a matching column",
"Tensile Strength",11,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Handle Length",11,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Handle Size",11,candidate_export,"CHECK USURPER PICKER for a matching column",
"Cable Length",11,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Wood Tone",10,candidate_export,"CHECK USURPER PICKER for a matching column",
"COA Issued By",10,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
Culture,10,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Year of Production",10,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"UVA Protection",10,candidate_export,"CHECK USURPER PICKER for a matching column",
Convention/Event,10,candidate_export,"CHECK USURPER PICKER for a matching column",
Grade,10,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Hair Type",10,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",hair_type_amazon
Era,10,candidate_export,"CHECK USURPER PICKER for a matching column",
"Strap Length",10,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Team,10,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",team_name_amazon|sportsglobalsportsteam_newegg
"Jaw Size",9,candidate_export,"CHECK USURPER PICKER for a matching column",
Event,9,candidate_export,"CHECK USURPER PICKER for a matching column",
"Event Type",9,candidate_export,"CHECK USURPER PICKER for a matching column",
"Trim Material",9,candidate_export,"CHECK USURPER PICKER for a matching column",
Design,9,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",design_amazon|backpack_design_amazon
"Active Ingredients",9,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",ingredients_amazon
"Skin Type",8,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",skin_type_amazon
"Stuff Sack Size",8,candidate_export,"CHECK USURPER PICKER for a matching column",
"Temperature Rating",8,candidate_export,"CHECK USURPER PICKER for a matching column",
"Country of Origin",8,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",country_of_origin
"Vehicle Type",8,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",vehicletype_walmart|vehicle_form_amazon
"Chime Sequence",8,candidate_export,"CHECK USURPER PICKER for a matching column",
"Number of Dividers",8,candidate_export,"CHECK USURPER PICKER for a matching column",
Position,8,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",auto_part_position_amazon|placement_on_vehicle
"Service For",8,candidate_export,"CHECK USURPER PICKER for a matching column",
"Heat Resistance",8,candidate_export,"CHECK USURPER PICKER for a matching column",
"Stove Type Compatibility",8,candidate_export,"CHECK USURPER PICKER for a matching column",
"Surface Coating",8,candidate_export,"CHECK USURPER PICKER for a matching column",
"Fill Power",7,candidate_export,"CHECK USURPER PICKER for a matching column",
"Animation Studio",7,candidate_export,"CHECK USURPER PICKER for a matching column",
"Certification Number",7,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Professional Grader",7,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Pocket Type",7,candidate_export,"CHECK USURPER PICKER for a matching column",
"Display Type",7,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",display_type_amazon
Movement,7,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",watch_movement_type_amazon|movement_type_amazon
Original/Reproduction,7,already_default,"sanity-check fill_aspects (should not be blank)",
Size,7,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",size_ebay|size
"EC Range",7,candidate_export,"CHECK USURPER PICKER for a matching column",
"EPREL Registration Number",7,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Energy Star",7,candidate_export,"CHECK USURPER PICKER for a matching column",
"Blade Width",7,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Packed Size",7,candidate_export,"CHECK USURPER PICKER for a matching column",
"Food Compatibility",6,candidate_export,"CHECK USURPER PICKER for a matching column",
Year,6,candidate_export,"CHECK USURPER PICKER for a matching column",
"Animal Species",6,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",animal_type_walmart|animalbreed_walmart
"Transformer Faction",6,candidate_export,"CHECK USURPER PICKER for a matching column",
"Keeps Cold For",6,candidate_export,"CHECK USURPER PICKER for a matching column",
"Keeps Hot For",6,candidate_export,"CHECK USURPER PICKER for a matching column",
"Number of Strands",6,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Closure,6,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",closure_amazon|closure_type_amazon
"Vehicle Year",6,candidate_export,"CHECK USURPER PICKER for a matching column",
"Year of Manufacture",6,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
Power,6,candidate_export,"CHECK USURPER PICKER for a matching column",
Movie,6,candidate_export,"CHECK USURPER PICKER for a matching column",
"Fill Material",6,candidate_export,"CHECK USURPER PICKER for a matching column",
"Hip Girth",6,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
R-Value,6,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Shoulder Girth",6,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Zipper Location",6,candidate_export,"CHECK USURPER PICKER for a matching column",
"Blade Color",5,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",blade_color_ebay|blade_color_amazon
"Suitable For",5,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",suitable_for|recommendeduse_walmart
Dexterity,5,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",dexterity_walmart
"System of Measurement",5,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",system_of_measurement
"Compatible With",5,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",compatible_devices_amazon
Amperage,5,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"TV Show",5,candidate_export,"CHECK USURPER PICKER for a matching column",
"Sleeping Capacity",5,candidate_export,"CHECK USURPER PICKER for a matching column",
"Blade Edge",4,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",blade_edge_type_amazon
"Weight Capacity",4,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Insulation Type",4,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Sport,4,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",sport_type_amazon|sportvalue_walmart
"Year Manufactured",4,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Bulb Life Hours",4,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Mounting,4,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Sensor Type",4,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"GSM (Grams per Square Meter)",4,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Material,4,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",material|material_type_amazon|primary_material|material_amazon|material_walmart
"Maximum Weight Capacity",3,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Seat Height",3,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Finish,3,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",finish_type_amazon|surface_finish|finish_walmart
"Number of Compartments",3,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Sport/Activity,3,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",sport_type_amazon|sportvalue_walmart
"Sheet Size",3,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Age Level",3,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",age_group
Hardness,3,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Lead Size",3,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Number Type",3,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Number of Pockets",3,candidate_export,"EXPORT (mapped column never pulled)",number_of_pockets_amazon
"LED Chip Code",3,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"LED String/Strip Type",3,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Output Voltage",3,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Glassware Type",3,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Head Shape",3,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Connectivity,3,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Thread Count",3,candidate_export,"EXPORT (mapped column never pulled)",thread_count_amazon
"Head Material",3,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",head_material_type_amazon
"Publication Year",3,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Handle Style",3,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",style_ebay|style
"Strap Drop",3,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Amp Hours",3,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Shell Material",3,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Lens Material",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Mirror Environment",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Mirror Shape",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Mirror Width",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Viewing Angle",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Security Rating",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Cycle Time",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"For Gun Type",2,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",gun_type_ebay
"Throwing Distance",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"For Gun Make",2,usurper_no_value,"Usurper blank for these; LLM declined -> hand-fill or leave",for_gun_make
"Mounting Location",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Ring Height",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Decibel Output",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Model Grade",2,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
"Motor Type",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Replica of",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Required Assembly",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Smart Home Compatibility",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Smart Home Protocol",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Light Direction",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Bounce,2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Club Number",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
"Head Mass",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Kickpoint,2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Launch,2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Lie Angle",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Lie Angle Color",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Loft,2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Set Makeup",2,long_tail_niche,"LEAVE OUT (too few listings to justify a new column pull)",
Spin,2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
"Swing Weight",2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Torque,2,supplier_spec,"LEAVE OUT (exact spec/dimension; not in inventory, LLM cannot guess)",
Award,2,collector_na,"LEAVE OUT (collectible aspect; N/A for new retail)",
